RESULT	增救.v 2100005001	救 1.0	保护 0.9	杀 0.8	护 0.7	接 0.6	放 0.5	保住 0.3999999999999999	延接 0.29999999999999993	生杀 0.19999999999999996
RESULT	闲.v 2101025001	闲 1.0	忙碌 0.9	闲闲 0.8	忙 0.7	闲逛 0.6	闲着 0.5	空闲 0.3999999999999999	休息 0.29999999999999993	都忙 0.19999999999999996	很忙 0.09999999999999998
RESULT	吃.v 2101025005	吃 1.0	做 0.9	嗑 0.8	食 0.7	煮 0.6	喝 0.5	看 0.3999999999999999	买 0.29999999999999993	常食 0.19999999999999996
RESULT	吃.v 2101035004	吃 1.0	吞 0.9	受 0.8	不吃 0.7	吞吃 0.6	食 0.5	是 0.3999999999999999	喝 0.29999999999999993	做 0.19999999999999996	坐 0.09999999999999998
RESULT	下饭.v 2101025007	下饭 1.0	下 0.9	饱 0.8	饭 0.7	完 0.6	着 0.5	饱饭 0.3999999999999999	开饭 0.29999999999999993	中饭 0.19999999999999996	下药 0.09999999999999998
RESULT	睡.v 2101025009	睡 1.0	睡睡 0.9	睡得 0.8	都睡 0.7	觉 0.6	眠 0.5	醒 0.3999999999999999	躺 0.29999999999999993	玩 0.19999999999999996	感 0.09999999999999998
RESULT	觉.v 2101025012	觉 1.0	睡觉 0.9	不觉 0.8	瞌睡 0.7	自己 0.6	时间 0.5	头脑 0.3999999999999999	起来 0.29999999999999993	起床 0.19999999999999996	早上 0.09999999999999998
RESULT	儿子.v 2101026000	儿子 1.0	他 0.9	她 0.8	我 0.7	妈 0.6	女儿 0.5	你 0.3999999999999999	孩子 0.29999999999999993	妈妈 0.19999999999999996	老公 0.09999999999999998
RESULT	愁.v 2101026003	愁 1.0	愁闷 0.9	忧愁 0.8	不愁 0.7	累 0.6	难过 0.5	忧郁 0.3999999999999999	忧伤 0.29999999999999993	悲伤 0.19999999999999996	快乐 0.09999999999999998
RESULT	成.v 2101026004	成 1.0	变成 0.9	不成 0.8	得成 0.7	哭成 0.6	瘦成 0.5	变得 0.3999999999999999	不得 0.29999999999999993	得 0.19999999999999996	不了 0.09999999999999998
RESULT	去.v 2101026012	去 1.0	去去 0.9	走走 0.8	逛街 0.7	散步 0.6	吃饭 0.5	出去 0.3999999999999999	街头 0.29999999999999993	一起 0.19999999999999996	散心 0.09999999999999998
RESULT	去.v 2101027003	去 1.0	去逛 0.9	去去 0.8	出去 0.7	想去 0.6	来去 0.5	上去 0.3999999999999999	回去 0.29999999999999993	一路 0.19999999999999996	一起 0.09999999999999998
RESULT	散心.v 2101026013	散心 1.0	玩 0.9	散 0.8	了 0.7	逛 0.6	走 0.5	走走 0.3999999999999999	吃饭 0.29999999999999993	聚会 0.19999999999999996	逛街 0.09999999999999998
RESULT	逛.v 2101027004	逛 1.0	逛逛 0.9	逛街 0.8	去逛 0.7	上海 0.6	商品 0.5	走访 0.3999999999999999	大型 0.29999999999999993	街边 0.19999999999999996	街头 0.09999999999999998
RESULT	发现.v 2101027007	发现 1.0	现 0.9	看 0.8	见 0.7	发 0.6	到 0.5	看到 0.3999999999999999	看见 0.29999999999999993	查看 0.19999999999999996	查到 0.09999999999999998
RESULT	发现.v 2102010013	发现 1.0	现 0.9	发 0.8	见 0.7	称 0.6	因 0.5	发觉 0.3999999999999999	现场 0.29999999999999993	认为 0.19999999999999996	发掘 0.09999999999999998
RESULT	门店.v 2101027009	门店 1.0	店 0.9	门 0.8	货 0.7	书 0.6	街 0.5	店铺 0.3999999999999999	商店 0.29999999999999993	商品 0.19999999999999996	店面 0.09999999999999998
RESULT	写.v 2101027011	写 1.0	写写 0.9	写有 0.8	贴 0.7	寫 0.6	挂 0.5	说 0.3999999999999999	标 0.29999999999999993	喊 0.19999999999999996	签 0.09999999999999998
RESULT	写.v 2102013025	写 1.0	写下 0.9	写写 0.8	留 0.7	记 0.6	签 0.5	立 0.3999999999999999	创 0.29999999999999993	填 0.19999999999999996	寫 0.09999999999999998
RESULT	店.v 2101027015	店 1.0	品牌 0.9	公司 0.8	产品 0.7	商家 0.6	商品 0.5	牌子 0.3999999999999999	商铺 0.29999999999999993	市场 0.19999999999999996	生产 0.09999999999999998
RESULT	绝.v 2101027016	绝 1.0	绝对 0.9	绝无 0.8	全部 0.7	一定 0.6	确实 0.5	一律 0.3999999999999999	确定 0.29999999999999993	全场 0.19999999999999996	絕 0.09999999999999998
RESULT	保证.v 2101027021	保证 1.0	好 0.9	优 0.8	高 0.7	保 0.6	保障 0.5	认证 0.3999999999999999	可靠 0.29999999999999993	优良 0.19999999999999996	放心 0.09999999999999998
RESULT	保证.v 2102005059	保证 1.0	保 0.9	证 0.8	主 0.7	准 0.6	新 0.5	保障 0.3999999999999999	支撑 0.29999999999999993	保护 0.19999999999999996	证明 0.09999999999999998
RESULT	保证.v 2105006020	保证 1.0	了 0.9	保 0.8	证 0.7	求 0.6	使 0.5	保障 0.3999999999999999	保护 0.29999999999999993	维护 0.19999999999999996	确保 0.09999999999999998
RESULT	敬请.v 2101027023	敬请 1.0	请 0.9	敬 0.8	您 0.7	請 0.6	可 0.5	敬請 0.3999999999999999	恭请 0.29999999999999993	客户 0.19999999999999996	欢迎 0.09999999999999998
RESULT	放心.v 2101027024	放心 1.0	放 0.9	安 0.8	信 0.7	心 0.6	安心 0.5	注 0.3999999999999999	信赖 0.29999999999999993	信心 0.19999999999999996	注意 0.09999999999999998
RESULT	身.v 2101028000	身 1.0	作 0.9	成 0.8	我 0.7	因 0.6	做 0.5	同 0.3999999999999999	生 0.29999999999999993
RESULT	打.v 2101028007	打 1.0	打打 0.9	挨打 0.8	连打 0.7	揍 0.6	拍打 0.5	对打 0.3999999999999999	踢打 0.29999999999999993	踢 0.19999999999999996	骂 0.09999999999999998
RESULT	打.v 2105007015	打 1.0	打起 0.9	一个 0.8	一打 0.7	一张 0.6	给 0.5	要求 0.3999999999999999	去拿 0.29999999999999993	的 0.19999999999999996	下 0.09999999999999998
RESULT	打.v 2107003005	打 1.0	打着 0.9	打打 0.8	打出 0.7	挂 0.6	顶 0.5	贴 0.3999999999999999	冒 0.29999999999999993	拿 0.19999999999999996	举 0.09999999999999998
RESULT	打.v 2107004010	打 1.0	借 0.9	贴 0.8	挂 0.7	冒 0.6	举 0.5	趁 0.3999999999999999	拿 0.29999999999999993
RESULT	耳刮子.v 2101028010	耳朵 1.0	鼻子 0.9	勺子 0.8	眼睛 0.7	胡子 0.6	蚊子 0.5	肚子 0.3999999999999999	脑袋 0.29999999999999993	扇子 0.19999999999999996	牙齿 0.09999999999999998
RESULT	难受.v 2101028012	难受 1.0	痛 0.9	难 0.8	疼 0.7	苦 0.6	累 0.5	痛苦 0.3999999999999999	好受 0.29999999999999993	易受 0.19999999999999996	难忍 0.09999999999999998
RESULT	一刻.v 2101029002	一刻 1.0	刻 0.9	时 0.8	一 0.7	天 0.6	瞬 0.5	时刻 0.3999999999999999	一瞬 0.29999999999999993	一秒 0.19999999999999996	瞬间 0.09999999999999998
RESULT	真正.v 2101029006	真正 1.0	也 0.9	就 0.8	真 0.7	又 0.6	更 0.5	真的 0.3999999999999999	彻底 0.29999999999999993	正式 0.19999999999999996	真切 0.09999999999999998
RESULT	真正.v 2103021003	真正 1.0	想 0.9	真 0.8	说 0.7	要 0.6	正 0.5	真实 0.3999999999999999	真真 0.29999999999999993	正确 0.19999999999999996	切实 0.09999999999999998
RESULT	明白.v 2101029007	明白 1.0	明 0.9	懂 0.8	白 0.7	了 0.6	清 0.5	懂得 0.3999999999999999	白白 0.29999999999999993	知道 0.19999999999999996	了解 0.09999999999999998
RESULT	分量.v 2101029015	分量 1.0	量 0.9	分 0.8	重 0.7	含义 0.6	重量 0.5	力 0.3999999999999999	份量 0.29999999999999993	重要 0.19999999999999996	涵义 0.09999999999999998
RESULT	本.v 2101029020	本 1.0	道 0.9	根本 0.8	道理 0.7	基础 0.6	根 0.5	原则 0.3999999999999999	法 0.29999999999999993	大道 0.19999999999999996	基 0.09999999999999998
RESULT	先是.v 2101031000	先是 1.0	先 0.9	再 0.8	等 0.7	又 0.6	然后 0.5	首先 0.3999999999999999	其次 0.29999999999999993	先要 0.19999999999999996	接着 0.09999999999999998
RESULT	打击.v 2101031001	打击 1.0	打 0.9	抓 0.8	查 0.7	击 0.6	搞 0.5	打打 0.3999999999999999	打破 0.29999999999999993	反击 0.19999999999999996	攻击 0.09999999999999998
RESULT	枪.v 2101031003	枪 1.0	枪枪 0.9	枪头 0.8	手枪 0.7	烟枪 0.6	火枪 0.5	刀枪 0.3999999999999999	毒品 0.29999999999999993	武器 0.19999999999999996	毒药 0.09999999999999998
RESULT	丑.v 2101031007	丑 1.0	伪劣 0.9	小丑 0.8	劣等 0.7	毒品 0.6	假货 0.5	黑 0.3999999999999999	污染 0.29999999999999993	劣品 0.19999999999999996	恶劣 0.09999999999999998
RESULT	抓.v 2101031010	抓 1.0	抓好 0.9	打击 0.8	搞 0.7	搞好 0.6	拿 0.5	搞搞 0.3999999999999999	把 0.29999999999999993	是 0.19999999999999996	查 0.09999999999999998
RESULT	抓.v 2102003008	抓 1.0	抓好 0.9	抓住 0.8	提高 0.7	追求 0.6	把握 0.5	提升 0.3999999999999999	这个 0.29999999999999993	保证 0.19999999999999996	狠抓 0.09999999999999998
RESULT	镇里.v 2101032000	镇里 1.0	里 0.9	我 0.8	又 0.7	镇 0.6	他 0.5	村里 0.3999999999999999	乡里 0.29999999999999993	镇上 0.19999999999999996	城里 0.09999999999999998
RESULT	加入.v 2101032007	加入 1.0	入 0.9	加 0.8	进 0.7	去 0.6	来 0.5	加盟 0.3999999999999999	参加 0.29999999999999993	加进 0.19999999999999996	参与 0.09999999999999998
RESULT	制度.v 2101033007	制度 1.0	制 0.9	法 0.8	网 0.7	体 0.6	度 0.5	体系 0.3999999999999999	机制 0.29999999999999993	度度 0.19999999999999996	标准 0.09999999999999998
RESULT	进.v 2101033011	进 1.0	进出 0.9	进进 0.8	进入 0.7	改进 0.6	出进 0.5	先进 0.3999999999999999	生产 0.29999999999999993	检验 0.19999999999999996	检查 0.09999999999999998
RESULT	原料.v 2101033012	原料 1.0	料 0.9	货 0.8	厂 0.7	口 0.6	工 0.5	材料 0.3999999999999999	原材 0.29999999999999993	进料 0.19999999999999996	废料 0.09999999999999998
RESULT	生产.v 2101033014	生产 1.0	进 0.9	产 0.8	加 0.7	出 0.6	生 0.5	制造 0.3999999999999999	产品 0.29999999999999993	研发 0.19999999999999996	加工 0.09999999999999998
RESULT	生产.v 2102005065	生产 1.0	其 0.9	产 0.8	厂 0.7	从 0.6	当 0.5	产品 0.3999999999999999	工作 0.29999999999999993	制造 0.19999999999999996	生活 0.09999999999999998
RESULT	生产.v 2102008007	生产 1.0	各 0.9	该 0.8	产 0.7	此 0.6	其 0.5	制造 0.3999999999999999	产品 0.29999999999999993	研发 0.19999999999999996	产生 0.09999999999999998
RESULT	生产.v 2102008010	生产 1.0	的 0.9	各 0.8	， 0.7	工 0.6	产 0.5	制造 0.3999999999999999	产品 0.29999999999999993	加工 0.19999999999999996	工艺 0.09999999999999998
RESULT	生产.v 2104001004	生产 1.0	产 0.9	生 0.8	业 0.7	最 0.6	的 0.5	产量 0.3999999999999999	产业 0.29999999999999993	产销 0.19999999999999996	种植 0.09999999999999998
RESULT	工艺.v 2101033015	工艺 1.0	线 0.9	厂 0.8	工 0.7	时 0.6	品 0.5	工序 0.3999999999999999	技艺 0.29999999999999993	技术 0.19999999999999996	手艺 0.09999999999999998
RESULT	工艺.v 2102008011	工艺 1.0	品 0.9	线 0.8	艺 0.7	工 0.6	量 0.5	工序 0.3999999999999999	技术 0.29999999999999993	技艺 0.19999999999999996	手段 0.09999999999999998
RESULT	拉链缝.v 2101033021	拉链 1.0	拉绳 0.9	拉鍊 0.8	线缝 0.7	车缝 0.6	吊链 0.5	吊绳 0.3999999999999999	吊带 0.29999999999999993	扣子 0.19999999999999996	连接 0.09999999999999998
RESULT	多少.v 2101033022	多少 1.0	少 0.9	多 0.8	几 0.7	数 0.6	一 0.5	少少 0.3999999999999999	多多 0.29999999999999993	多么 0.19999999999999996	几多 0.09999999999999998
RESULT	针.v 2101033023	针 1.0	小针 0.9	一针 0.8	钉子 0.7	长针 0.6	长度 0.5	刀子 0.3999999999999999	大小 0.29999999999999993	小孔 0.19999999999999996	线 0.09999999999999998
RESULT	龟.v 2101033028	龟 1.0	老龟 0.9	乌龟 0.8	猪头 0.7	鸡 0.6	老虎 0.5	猪蹄 0.3999999999999999	蛇 0.29999999999999993	乌 0.19999999999999996	龜 0.09999999999999998
RESULT	爪儿.v 2101033029	爪儿 1.0	爪 0.9	趾 0.8	牙 0.7	爪子 0.6	钳 0.5	脚 0.3999999999999999	脚儿 0.29999999999999993	角儿 0.19999999999999996	指头 0.09999999999999998
RESULT	方言.v 2101033032	方言 1.0	话 0.9	言 0.8	语 0.7	人 0.6	方 0.5	语言 0.3999999999999999	官话 0.29999999999999993	留言 0.19999999999999996	直言 0.09999999999999998
RESULT	规定.v 2101033036	规定 1.0	规 0.9	定 0.8	規 0.7	的 0.6	規定 0.5	定定 0.3999999999999999	规矩 0.29999999999999993	标定 0.19999999999999996	约定 0.09999999999999998
RESULT	规定.v 2104008011	规定 1.0	定 0.9	规 0.8	订 0.7	给 0.6	新 0.5	确定 0.3999999999999999	制定 0.29999999999999993	设定 0.19999999999999996	限定 0.09999999999999998
RESULT	编者注.v 2101033038	编者 1.0	编辑 0.9	作者 0.8	译者 0.7	译注 0.6	編者 0.5	记者 0.3999999999999999	读音 0.29999999999999993	翻译 0.19999999999999996	记录 0.09999999999999998
RESULT	遵守.v 2101034002	遵守 1.0	遵 0.9	守 0.8	听 0.7	懂 0.6	做 0.5	违规 0.3999999999999999	恪守 0.29999999999999993	执行 0.19999999999999996	违法 0.09999999999999998
RESULT	成品.v 2101034004	成品 1.0	再 0.9	不 0.8	品 0.7	产品 0.6	你 0.5	被 0.3999999999999999	生产 0.29999999999999993	原料 0.19999999999999996	出厂 0.09999999999999998
RESULT	检验.v 2101034005	检验 1.0	检 0.9	管 0.8	库 0.7	量 0.6	单 0.5	验收 0.3999999999999999	质检 0.29999999999999993	质量 0.19999999999999996	审核 0.09999999999999998
RESULT	检验.v 2102006034	检验 1.0	检 0.9	管 0.8	验 0.7	部 0.6	的 0.5	测试 0.3999999999999999	验收 0.29999999999999993	检测 0.19999999999999996	质检 0.09999999999999998
RESULT	检验.v 2102010003	检验 1.0	的 0.9	检 0.8	内 0.7	各 0.6	检测 0.5	组 0.3999999999999999	检查 0.29999999999999993	测试 0.19999999999999996	验收 0.09999999999999998
RESULT	检验.v 2102013022	检验 1.0	该 0.9	此 0.8	原 0.7	其 0.6	本 0.5	检测 0.3999999999999999	检查 0.29999999999999993	验收 0.19999999999999996	测试 0.09999999999999998
RESULT	卡.v 2101034008	卡 1.0	关闭 0.9	严格 0.8	关卡 0.7	停顿 0.6	严肃 0.5	停止 0.3999999999999999	停 0.29999999999999993	关 0.19999999999999996	封闭 0.09999999999999998
RESULT	原来.v 2101035000	原来 1.0	唉 0.9	不 0.8	啊 0.7	哦 0.6	瞧 0.5	所以 0.3999999999999999	其实 0.29999999999999993	本来 0.19999999999999996	因此 0.09999999999999998
RESULT	净.v 2101035003	净 1.0	只是 0.9	总是 0.8	只能 0.7	不能 0.6	真是 0.5	不愿 0.3999999999999999	还要 0.29999999999999993	总爱 0.19999999999999996	就是 0.09999999999999998
RESULT	名.v 2101035007	名 1.0	子 0.9	不 0.8	儿 0.7	字 0.6	一 0.5	有名 0.3999999999999999	字字 0.29999999999999993	不知 0.19999999999999996
RESULT	儿.v 2101035009	儿 1.0	名儿 0.9	字儿 0.8	子儿 0.7	字 0.6	地儿 0.5	人儿 0.3999999999999999	子 0.29999999999999993	称 0.19999999999999996	之类 0.09999999999999998
RESULT	亏.v 2101035011	亏 1.0	亏了 0.9	大亏 0.8	苦头 0.7	麻烦 0.6	小亏 0.5	福气 0.3999999999999999	福报 0.29999999999999993	饭菜 0.19999999999999996	冤枉 0.09999999999999998
RESULT	白沟产.v 2101036000	白沟 1.0	黑沟 0.9	山产 0.8	水产 0.7	山寨 0.6	山东 0.5	地产 0.3999999999999999	林产 0.29999999999999993	海产 0.19999999999999996	家产 0.09999999999999998
RESULT	箱包.v 2101036002	鞋 1.0	箱包 0.9	包 0.8	包包 0.7	鞋子 0.6	车 0.5	背包 0.3999999999999999	皮鞋 0.29999999999999993	货 0.19999999999999996	箱 0.09999999999999998
RESULT	运.v 2101036004	运 1.0	如果 0.9	只要 0.8	运送 0.7	运输 0.6	一旦 0.5	要是 0.3999999999999999	若要 0.29999999999999993	只是 0.19999999999999996	再送 0.09999999999999998
RESULT	城市.v 2101036007	城市 1.0	城 0.9	市 0.8	街 0.7	都 0.6	镇 0.5	都市 0.3999999999999999	街上 0.29999999999999993	市场 0.19999999999999996	城里 0.09999999999999998
RESULT	缝.v 2101036008	缝 1.0	加 0.9	贴 0.8	粘 0.7	印 0.6	绣 0.5	拼 0.3999999999999999	涂 0.29999999999999993	再加 0.19999999999999996	里加 0.09999999999999998
RESULT	商标.v 2101036011	商标 1.0	标 0.9	牌 0.8	字 0.7	包 0.6	标签 0.5	品牌 0.3999999999999999	产品 0.29999999999999993	标识 0.19999999999999996	标志 0.09999999999999998
RESULT	商标.v 2101037027	商标 1.0	字 0.9	名 0.8	标 0.7	品牌 0.6	标志 0.5	名称 0.3999999999999999	产品 0.29999999999999993	字样 0.19999999999999996	标识 0.09999999999999998
RESULT	价钱.v 2101036013	价钱 1.0	也 0.9	钱 0.8	价 0.7	可 0.6	货 0.5	价格 0.3999999999999999	价码 0.29999999999999993	卖钱 0.19999999999999996	售价 0.09999999999999998
RESULT	翻.v 2101036015	翻 1.0	翻好 0.9	上翻 0.8	翻上 0.7	便宜 0.6	上涨 0.5	好转 0.3999999999999999	涨 0.29999999999999993	好卖 0.19999999999999996	跌 0.09999999999999998
RESULT	注册.v 2101037006	注册 1.0	注 0.9	册 0.8	标 0.7	发 0.6	请 0.5	申请 0.3999999999999999	提供 0.29999999999999993	注销 0.19999999999999996	添加 0.09999999999999998
RESULT	供.v 2101037029	供 1.0	可供 0.9	供给 0.8	提供 0.7	专供 0.6	仅供 0.5	方便 0.3999999999999999	便于 0.29999999999999993	用于 0.19999999999999996	以便 0.09999999999999998
RESULT	加工.v 2101037031	加工 1.0	客 0.9	用 0.8	商 0.7	工 0.6	加 0.5	生产 0.3999999999999999	销售 0.29999999999999993	代工 0.19999999999999996	批发 0.09999999999999998
RESULT	加工.v 2101039004	加工 1.0	工 0.9	客 0.8	商 0.7	农 0.6	厂 0.5	生产 0.3999999999999999	销售 0.29999999999999993	制造 0.19999999999999996	批发 0.09999999999999998
RESULT	加工.v 2104006016	加工 1.0	加 0.9	工 0.8	轧 0.7	磨 0.6	做 0.5	生产 0.3999999999999999	磨工 0.29999999999999993	加油 0.19999999999999996	工作 0.09999999999999998
RESULT	户.v 2101037032	户 1.0	企业 0.9	客户 0.8	商户 0.7	用户 0.6	业主 0.5	单位 0.3999999999999999	人员 0.29999999999999993	生产 0.19999999999999996	农户 0.09999999999999998
RESULT	户.v 2101039005	户 1.0	客户 0.9	企业 0.8	大户 0.7	业主 0.6	人员 0.5	农户 0.3999999999999999	老板 0.29999999999999993	民众 0.19999999999999996	业户 0.09999999999999998
RESULT	户.v 2106003006	户 1.0	单位 0.9	人 0.8	客户 0.7	村 0.6	网 0.5	党员 0.3999999999999999	账户 0.29999999999999993	员 0.19999999999999996	帐 0.09999999999999998
RESULT	使用.v 2101037033	使用 1.0	用 0.9	使 0.8	看 0.7	的 0.6	用用 0.5	利用 0.3999999999999999	用途 0.29999999999999993	采用 0.19999999999999996	用户 0.09999999999999998
RESULT	牌子.v 2101038001	牌子 1.0	人 0.9	牌 0.8	品牌 0.7	品 0.6	鞋 0.5	产品 0.3999999999999999	厂家 0.29999999999999993	标准 0.19999999999999996	鞋子 0.09999999999999998
RESULT	牌子.v 2105002026	牌子 1.0	牌 0.9	钱 0.8	子 0.7	匾 0.6	纸 0.5	旗子 0.3999999999999999	牌匾 0.29999999999999993	标牌 0.19999999999999996	板子 0.09999999999999998
RESULT	牌子.v 2105008012	牌子 1.0	牌 0.9	钱 0.8	它 0.7	书 0.6	品牌 0.5	标牌 0.3999999999999999	旗子 0.29999999999999993	产品 0.19999999999999996	钱包 0.09999999999999998
RESULT	专用.v 2101038004	专用 1.0	用 0.9	个 0.8	新 0.7	的 0.6	专 0.5	专业 0.3999999999999999	特殊 0.29999999999999993	专属 0.19999999999999996	特别 0.09999999999999998
RESULT	不能.v 2101038009	不能 1.0	不 0.9	能 0.8	会 0.7	不会 0.6	没 0.5	要 0.3999999999999999	不敢 0.29999999999999993	可以 0.19999999999999996	只能 0.09999999999999998
RESULT	不能.v 2103024014	不能 1.0	能 0.9	不 0.8	可 0.7	未 0.6	不可 0.5	不会 0.3999999999999999	会 0.29999999999999993	未能 0.19999999999999996	只能 0.09999999999999998
RESULT	讲.v 2101039006	讲 1.0	讲讲 0.9	讲完 0.8	开讲 0.7	来讲 0.6	再讲 0.5	听完 0.3999999999999999	一堂 0.29999999999999993	上 0.19999999999999996	一次 0.09999999999999998
RESULT	讲.v 2107004006	讲 1.0	讲究 0.9	讲讲 0.8	讲求 0.7	谈论 0.6	懂得 0.5	认真 0.3999999999999999	认识 0.29999999999999993	认同 0.19999999999999996	思想 0.09999999999999998
RESULT	课.v 2101039008	课 1.0	课时 0.9	课后 0.8	教育 0.7	讲课 0.6	战略 0.5	问题 0.3999999999999999	管理 0.29999999999999993	工作 0.19999999999999996	培训 0.09999999999999998
RESULT	名牌.v 2101039019	名牌 1.0	牌 0.9	名 0.8	大 0.7	好 0.6	品牌 0.5	名品 0.3999999999999999	荣誉 0.29999999999999993	牌子 0.19999999999999996	大牌 0.09999999999999998
RESULT	战略.v 2101039020	战略 1.0	战 0.9	企 0.8	商 0.7	经 0.6	策 0.5	企业 0.3999999999999999	策略 0.29999999999999993	品牌 0.19999999999999996	市场 0.09999999999999998
RESULT	硕士.v 2101040003	硕士 1.0	士 0.9	博士 0.8	硕 0.7	博 0.6	家 0.5	学士 0.3999999999999999	本科 0.29999999999999993	大师 0.19999999999999996	学生 0.09999999999999998
RESULT	学问.v 2101040006	学问 1.0	学 0.9	才 0.8	钱 0.7	书 0.6	识 0.5	学识 0.3999999999999999	学术 0.29999999999999993	经验 0.19999999999999996	知识 0.09999999999999998
RESULT	又.v 2101040008	又 1.0	既 0.9	并且 0.8	而且 0.7	也 0.6	很 0.5	就是 0.3999999999999999	一样 0.29999999999999993	还要 0.19999999999999996	一直 0.09999999999999998
RESULT	又.v 2101044002	又 1.0	又是 0.9	真的 0.8	再次 0.7	这边 0.6	终于 0.5	真是 0.3999999999999999	再也 0.29999999999999993	这次 0.19999999999999996	再度 0.09999999999999998
RESULT	又.v 2102014003	又 1.0	再次 0.9	再度 0.8	继续 0.7	重新 0.6	再 0.5	立即 0.3999999999999999	亲自 0.29999999999999993	依次 0.19999999999999996	接着 0.09999999999999998
RESULT	又.v 2103024019	又 1.0	再次 0.9	重新 0.8	已经 0.7	终于 0.6	仍然 0.5	竟然 0.3999999999999999	再度 0.29999999999999993	还是 0.19999999999999996	一次 0.09999999999999998
RESULT	了解.v 2101040009	了解 1.0	懂 0.9	有 0.8	知 0.7	解 0.6	谙 0.5	知道 0.3999999999999999	理解 0.29999999999999993	懂得 0.19999999999999996	熟悉 0.09999999999999998
RESULT	了解.v 2106003055	了解 1.0	爱 0.9	心 0.8	解 0.7	亲 0.6	参 0.5	瞭解 0.3999999999999999	认识 0.29999999999999993	理解 0.19999999999999996	认知 0.09999999999999998
RESULT	实情.v 2101040012	实情 1.0	情 0.9	事 0.8	实 0.7	人 0.6	理 0.5	真情 0.3999999999999999	事情 0.29999999999999993	情况 0.19999999999999996	现状 0.09999999999999998
RESULT	讲课.v 2101040014	讲课 1.0	课 0.9	讲 0.8	让 0.7	教 0.6	说 0.5	听课 0.3999999999999999	讲讲 0.29999999999999993	上课 0.19999999999999996	授课 0.09999999999999998
RESULT	懂.v 2101040019	懂 1.0	懂懂 0.9	得懂 0.8	不懂 0.7	清楚 0.6	进去 0.5	出来 0.3999999999999999	下来 0.29999999999999993	下去 0.19999999999999996	一遍 0.09999999999999998
RESULT	爱.v 2101040022	爱 1.0	喜欢 0.9	爱爱 0.8	喜爱 0.7	欢喜 0.6	愿意 0.5	热爱 0.3999999999999999	欢欢 0.29999999999999993	乐意 0.19999999999999996	想去 0.09999999999999998
RESULT	办.v 2101041003	办 1.0	所办 0.9	办理 0.8	创办 0.7	办公 0.6	开办 0.5	公办 0.3999999999999999	举办 0.29999999999999993	主办 0.19999999999999996	管理 0.09999999999999998
RESULT	办.v 2107001019	办 1.0	办理 0.9	申办 0.8	办好 0.7	开办 0.6	未办 0.5	经办 0.3999999999999999	完成 0.29999999999999993	申请 0.19999999999999996	发放 0.09999999999999998
RESULT	成立.v 2101041011	成立 1.0	立 0.9	成 0.8	有 0.7	建 0.6	设 0.5	建立 0.3999999999999999	设立 0.29999999999999993	组建 0.19999999999999996	立起 0.09999999999999998
RESULT	成立.v 2102004003	成立 1.0	建 0.9	立 0.8	位 0.7	始 0.6	设 0.5	建立 0.3999999999999999	创立 0.29999999999999993	设立 0.19999999999999996	创建 0.09999999999999998
RESULT	小组.v 2101041014	小组 1.0	组 0.9	部 0.8	队 0.7	班 0.6	室 0.5	小队 0.3999999999999999	中心 0.29999999999999993	组织 0.19999999999999996	分组 0.09999999999999998
RESULT	实行.v 2101041016	实行 1.0	行 0.9	实 0.8	做 0.7	施 0.6	推 0.5	实施 0.3999999999999999	执行 0.29999999999999993	进行 0.19999999999999996	实现 0.09999999999999998
RESULT	全面.v 2101041018	全面 1.0	了 0.9	面 0.8	全 0.7	高 0.6	好 0.5	整体 0.3999999999999999	面面 0.29999999999999993	完善 0.19999999999999996	全程 0.09999999999999998
RESULT	做.v 2101042003	做 1.0	敢做 0.9	作为 0.8	自己 0.7	这个 0.6	作 0.5	自制 0.3999999999999999	这款 0.29999999999999993	打 0.19999999999999996	办 0.09999999999999998
RESULT	做.v 2101044011	做 1.0	搞 0.9	办 0.8	来 0.7	作 0.6	干 0.5	卖 0.3999999999999999	打 0.29999999999999993	搞得 0.19999999999999996	开办 0.09999999999999998
RESULT	做.v 2102009016	做 1.0	做做 0.9	做起 0.8	抓得 0.7	抓 0.6	搞起 0.5	要求 0.3999999999999999	干 0.29999999999999993	搞 0.19999999999999996	再说 0.09999999999999998
RESULT	做.v 2103001013	做 1.0	进行 0.9	做做 0.8	做到 0.7	开始 0.6	作 0.5	经历 0.3999999999999999	经过 0.29999999999999993	开展 0.19999999999999996	行走 0.09999999999999998
RESULT	包.v 2101042004	包 1.0	包包 0.9	包装 0.8	包子 0.7	皮包 0.6	背包 0.5	手表 0.3999999999999999	鞋子 0.29999999999999993	皮带 0.19999999999999996	衣服 0.09999999999999998
RESULT	包.v 2101043000	包 1.0	包包 0.9	包装 0.8	装修 0.7	装饰 0.6	吃 0.5	装 0.3999999999999999	做 0.29999999999999993	还 0.19999999999999996	店家 0.09999999999999998
RESULT	包.v 2101044023	包 1.0	箱包 0.9	子 0.8	装 0.7	袋 0.6	皮包 0.5	皮 0.3999999999999999	背包 0.29999999999999993	大包 0.19999999999999996	布 0.09999999999999998
RESULT	没得.v 2101042007	没得 1.0	得 0.9	不 0.8	敢 0.7	没 0.6	来 0.5	没话 0.3999999999999999	只得 0.29999999999999993	沒得 0.19999999999999996	值得 0.09999999999999998
RESULT	产品.v 2101042014	产品 1.0	包 0.9	人 0.8	货 0.7	店 0.6	品 0.5	品牌 0.3999999999999999	用户 0.29999999999999993	厂家 0.19999999999999996	市场 0.09999999999999998
