RESULT	增救.v 2100005001	救 2.360103017165401	保护 1.7931066188209615	保住 1.736622187260124	杀 1.544793045988785	生杀 1.5016750371595946	护 1.4228846120780734	放 1.4215957318614216	接 1.3371678831635874	延接 1.3201661652760588
RESULT	都.v 2101015028	都都 2.425657482342193	均 2.402020241179426	也 2.3432778159581082	皆 2.314313035978255	全都 2.24954923769559	就 2.214708501453777	纷纷 2.1735971359499175	还 2.1426376308031414	全 2.098325237934717	全部 2.048691844890239
RESULT	都.v 2101023001	常 2.928994318739889	总是 2.905565903977864	都会 2.7215006383929854	总 2.7057446985597315	经常 2.656588674319788	一直 2.6151905595121896	常常 2.536367679277687	总会 2.461018933653787	就 2.4496679561582333	也 2.4464467803477508
RESULT	都.v 2101028011	还 1.8707208844789818	还要 1.7577768615763907	更 1.7457497578377514	也 1.7255207861481632	要 1.6753670007911616	更加 1.4996865104867136	更是 1.4816227045421178	更为 1.3576874015367482	就要 1.3254678826307953	真的 1.2904052689413694
RESULT	都.v 2101033025	都会 2.6497188190647263	全都 2.6125147344043724	均 2.610210302254856	皆 2.5849891473834785	就 2.455223575167109	全部 2.4006950538731866	总是 2.3988723220291925	一定 2.3508285235129494	只 2.330230953676746	总会 2.3187218354275845
RESULT	都.v 2101038002	都都 1.8623595641361634	都会 1.8601118822102318	均 1.7325415006627956	中都 1.6972695252369514	也 1.6469837919335164	全都 1.6417287384355586	皆 1.614455806801515	各 1.5532699002019021	就 1.5212042820347087	还 1.4842514043226671
RESULT	都.v 2101038008	也 2.2856722127047977	都都 1.8010817392620435	就 1.6020788415773088	还 1.508109584999373	就是 1.3964626693202675	还是 1.3877023479258894	地 1.364399456665366	均 1.358261651620529	又 1.3368676077519765	不是 1.23043591787683
RESULT	都.v 2101040016	全都 2.11431995131962	都都 2.0376965463575236	全部 1.8909501953288594	完全 1.8851528716462223	也 1.8827741385641272	一样 1.847547944473618	均 1.84564905277773	皆 1.8455591065195673	就 1.8378285629869728	大都 1.8319125574605448
RESULT	都.v 2101040021	都都 2.003786932259418	也 1.8774960644173606	很 1.7995359001715268	还 1.7606431237300013	就 1.7553132318061206	更 1.7473285657192552	一直 1.7317554551070848	最 1.7263235433702107	我们 1.7251467248771308	而且 1.7247691036420534
RESULT	都.v 2102005071	均 3.3522400452078776	都都 3.261808304250355	皆 3.2350426644632035	中都 3.1783780215488178	全都 3.136353000833393	全部 3.0175835007802867	也 2.992212694419618	就 2.973742697578582	具 2.9489023661079257	一律 2.9461999000274983
RESULT	都.v 2102008026	均 2.712729730864349	都都 2.615649106663097	皆 2.5230681073708556	全都 2.5130232101587477	全部 2.461704347258352	也 2.447805795782469	一直 2.332907833701006	全程 2.302950735776977	分别 2.298193805575372	工作 2.257049114042793
RESULT	愿.v 2101015029	愿意 2.7122987790426887	想 2.5552286831861095	希望 2.506581929745034	喜欢 2.469754023877101	欢迎 2.433432486251977	想要 2.41299351602059	想来 2.4084428481755813	纷纷 2.4014553085894423	来 2.392220535210353	意愿 2.379607438771627
RESULT	实话.v 2101019001	真的 1.9677568569464883	来 1.7685198241573623	了 1.712557780681621	实在 1.6983015118499833	真话 1.639968696953586	实 1.6393947876943282	吧 1.561445480231606	不定 1.503185036122782	真实 1.4960843224973712	确实 1.4853459697694007
RESULT	真.v 2101019004	真的 2.3711253591174613	真是 2.0460965576126435	确实 1.9681424389654132	实在 1.8996544384272545	也 1.8006343689557671	可 1.7884718544121039	我 1.7848743593984295	候 1.7824946125134324	还 1.7232098734693793	的确 1.6794162635766368
RESULT	发展.v 2101020005	达 1.9839009723089644	成长 1.964128921691586	开展 1.8382320687564262	扩张 1.81892773323715	发达 1.8011309717804762	开发 1.7970032867056545	扩大 1.768370367896246	扩展 1.759878527881007	恢复 1.756818831334727	进展 1.7054185766422982
RESULT	发展.v 2108001007	增长 2.2950790521709674	进展 2.198799614905764	进步 2.177952493355114	开发 2.133702707612502	扩展 2.091233785896952	开展 2.0852316411128804	扩张 2.0650306715282776	成长 2.0641393512602457	发育 2.001035906335616	拓展 1.9768380301776034
RESULT	高峰.v 2101020008	顶峰 2.2151436528089885	峰值 2.0968164235297766	巅峰 2.089114757538456	高潮 1.9717755424728847	高点 1.9052016457459096	峰 1.8750250440441043	颠峰 1.8744409589119122	热点 1.8074707876561962	顶点 1.8071824670534444	极端 1.8015075895107846
RESULT	客流量.v 2101020011	客流 2.2050967360054314	流量 2.1096576268920986	接待 1.7676323926260122	游客 1.756048422273626	旅客 1.7532616481684167	人流 1.7234506162357568	容量 1.675945279309724	运量 1.6754272132334909	增长 1.6751389564381225	客人 1.670307680357399
RESULT	毛收入.v 2101021007	收入 1.9327275118474208	毛利 1.6395158872600768	工资 1.5978770106608422	营收 1.5362325184210808	收益 1.4474685525135738	月入 1.4309509901364266	薪水 1.4238412800541267	成本 1.3791995647215152	入账 1.3656135093365296	出入 1.328539023537422
RESULT	多.v 2101021012	大 1.5778479067610185	高 1.542808892470121	多则 1.5416558459901433	更多 1.5321364696364967	少 1.4748108852778625	最多 1.4503429243091859	多数 1.4314455005993139	重 1.4248216022699538	再多 1.417391126784736	不多 1.3800981547717002
RESULT	多.v 2102010031	少 2.32761292998586	多多 2.3018115601432125	高 2.300735209063908	多出 2.2938322057721177	再多 2.2666806615448962	更多 2.16620735112587	大 2.1189709882547874	加多 2.0720502687908486	小 2.049718712164489	低 2.0402583521000848
RESULT	多.v 2107003001	加多 2.944725882198611	大 2.8741621261313086	多多 2.866678938034526	更多 2.834440967709167	有 2.826005061710851	少 2.8056292146117463	广泛 2.7782491817875905	加 2.704672622128266	高 2.700702309195186	广大 2.6724956506529307
RESULT	上万元.v 2101021014	上万 1.6876895716473848	万元 1.5994439239923088	千元 1.3864618579303574	上千 1.3572448186980148	千万 1.1619547919760738	万块 1.1168179806872578	万多 0.9846629593791633	千块 0.9827621349142995
RESULT	商品.v 2101022005	产品 2.910145792405435	货品 2.718181788848585	物品 2.663235651462997	货物 2.642607268992611	品 2.5313925460144615	药品 2.5223406912466877	食品 2.50607660133753	制品 2.4583137541418436	用品 2.4247316716065628	东西 2.4048325772344796
RESULT	泛滥.v 2101022006	猖獗 2.8008404353393366	横行 2.713454603323926	肆虐 2.6589792490068542	充斥 2.604771913084906	盛行 2.6016347571797875	滥用 2.5632104090430965	繁多 2.5067483143816323	涌现 2.4966683510934304	滥发 2.4528917036403053	繁盛 2.434633903996177
RESULT	新闻.v 2101022012	消息 2.6010294581602857	报道 2.500801921568841	传媒 2.3980706597994046	传闻 2.392142846465194	旧闻 2.35638713302942	宣传 2.350855046087109	报刊 2.324477434888993	媒体 2.3230155448791048	行政 2.293856161141597	政府 2.2802805662736243
RESULT	单位.v 2101022013	机构 2.981651737761635	媒体 2.821845200237764	部门 2.821199245768362	机关 2.706937240974587	公司 2.6520047360211407	人士 2.5324952737382147	团体 2.5279041450495847	官员 2.516685378389774	媒介 2.4898830789336532	界 2.4765982269512166
RESULT	单位.v 2102006030	部门 2.6664821090403232	公司 2.6499930991349387	企业 2.6232292319882604	机构 2.573474677076705	岗位 2.4924910177762514	工厂 2.4570351725573127	地区 2.4315353036542615	机关 2.4083618443482653	工位 2.40177355733491	厂家 2.4015339596962733
RESULT	曝.v 2101022014	揭 2.7703573251890066	曝光 2.751838251772007	报 2.581165427377722	爆 2.488629693684321	扒 2.450961896684601	炒 2.438900145537209	露 2.2281756894482307	抓 2.1232160229902073	公报 2.0842474197151706
RESULT	光.v 2101022016	出来 2.770112438785259	出去 2.678173378452736	光光 2.5515453238468275	曝光 2.428117901241461	一空 2.37928106025487	亮 2.3458224515414794	过来 2.262363000535256	过去 2.240159496886426	清 2.2222890215175357	大光 2.2041333342572886
RESULT	人们.v 2101023000	大家 2.979824866428023	我们 2.6668239588986324	他们 2.5797358586745998	人 2.548050481360379	别人 2.4564231817008464	民众 2.4481369365177144	大众 2.38579130001859	人民 2.384120228687293	人家 2.2592061586320966	大伙 2.232810978239178
RESULT	人们.v 2102001003	我们 2.764464974607278	有人 2.5099337173722893	常 2.4520933816688197	他们 2.385712402175835	人 2.3658316982946577	大家 2.3417400251724834	人类 2.251017246556958	民众 2.1872379792018504	商人 2.154065699832903	商家 2.097469942981386
RESULT	人们.v 2106004011	人类 2.6094097981690885	人民 2.588821271480243	我们 2.5545858796420102	大家 2.539853738365973	民众 2.5309138367976356	民间 2.4497627695575996	群众 2.441690250043222	一种 2.439756228242925	世人 2.4370022704124885	他们 2.4366297011546614
RESULT	人们.v 2106004019	他们 2.619352625774776	我们 2.480965051844906	民众 2.479083010582849	人民 2.459278810346447	大家 2.4589899824321595	居民 2.4369097162916766	群众 2.4273980333430183	了 2.4261202067372527	人类 2.395181752637674	市民 2.3685681378884382
RESULT	敢.v 2101023007	胆敢 2.6018525481167143	能 2.586641512177112	不敢 2.566552083748305	会 2.5348922178101714	愿意 2.496882778816004	想 2.437829360191474	可以 2.364010747176652	勇敢 2.3074375510517737	肯 2.269001341507408	要 2.220799466023391
RESULT	敢.v 2101023014	不敢 2.4970113102963682	胆敢 2.441935916431014	能 2.325464620978647	愿意 2.2739869325986115	想 2.2074468363973487	可以 2.207230523342952	会 2.190957636353411	愿 2.1658742064888052	肯 2.1490540496897887	怕 2.121008876283763
RESULT	敢.v 2101042010	敢于 2.0052450247365248	胆敢 1.8113236476446115	真敢 1.7574045584885267	竟敢 1.6918913075029178	不敢 1.678135340174113	能 1.6431124617149306	只敢 1.6374512685406053	勇敢 1.5673989917570748	能够 1.537959070157346	要 1.4624687256604556
RESULT	买.v 2101023008	挑 2.5845018582132533	购买 2.5674361958914718	卖 2.524374493998396	吃 2.5078480252854947	购 2.488401359538428	抢 2.4037651517962395	买了 2.1765058599434464	看 2.1579867220910542	说 2.088168458891226	挑剔 2.0531060957293015
RESULT	惹.v 2101023015	招惹 2.6934667662617366	碰 2.6522778924117367	招 2.334502913864864	挑战 2.313744310834319	说 2.3120744746193136	搞 2.241662057796322	卖 2.2146020976663587	买 2.2010550918030303	动手 2.037477498335814	招呼 1.9699261556223275
RESULT	冷清.v 2101024004	冷淡 1.664489211249369	寂静 1.5716742402254167	冷 1.5683903495544853	冷静 1.54857317590864	清淡 1.531318680435453	平静 1.4969925208089796	沉寂 1.4376009030998225	寒冷 1.4341643423584671	清静 1.430767943149687	安静 1.4172206119410904
RESULT	下来.v 2101024005	了 1.5658242440183197	起来 1.4830201366996036	下去 1.4022723036459483	过来 1.3620033951205464	开来 1.3364373620688648	出来 1.299851437089698	上来 1.2499110318029385	下 1.2129449656665885	过去 1.1836636381283936	来 1.1436282813210719
RESULT	下来.v 2101034009	下去 1.918167206582193	起来 1.7344884224885497	进来 1.7282716359411432	进去 1.7195513757226424	上来 1.6898515537132006	上去 1.6880530318637725	住 1.6305856774886944	出来 1.5992199116996282	下 1.5716320419827081	上 1.508731443311095
RESULT	买卖.v 2101024009	生意 1.5925069947023902	销售 1.433507871730574	卖家 1.417270122823377	商品 1.4079104475372721	售卖 1.341301534358338	卖卖 1.3406932285482465	购买 1.3320545966843502	商业 1.3169263570937308	商人 1.2995875736257279	业务 1.2934241486574036
RESULT	买卖.v 2101044008	生意 3.1122235749934783	销售 2.8784638561947493	业务 2.843838442130577	卖卖 2.7777816929892793	卖点 2.7031058656257403	售卖 2.6961712328935445	出售 2.6901300015220215	购买 2.684008955503575	卖 2.661000274382727	订单 2.651715435503303
RESULT	跟着.v 2101024011	跟著 1.5482806705014547	随之 1.49129565316227	随着 1.3531061084725624	跟 1.243137564693572	同样 1.2386013092832229	跟随 1.210510289778053	接着 1.205939244370367	慢慢 1.1761695003300128	陪着 1.169229129450006	顺着 1.158378667388822
RESULT	衰.v 2101024012	消失 1.758925281043327	枯萎 1.6983482740199118	消退 1.6833072783215826	倒退 1.6606796480549058	垮 1.659182085536737	萎缩 1.6571319711912136	倒闭 1.6501726063772475	凋零 1.5983848838373234	枯竭 1.597259896487139	丧失 1.5887753155386015
RESULT	衰.v 2101045006	亡 2.2500943869533274	败 2.238649024339815	灭 2.1955742623628636	盛 2.1814477933688736	兴 2.1381813041125968	盛衰 2.0975178164973487	荣 2.087145111164683	兴衰 2.0530688903599796	旺 2.0445665355195066	不衰 1.9730898558985912
RESULT	衰.v 2101045009	败 2.2367500539657628	亡 2.1358988188788297	灭 2.1318031112516445	兴 2.1107913671740306	兴衰 2.093940550908473	盛衰 2.0853796373324798	旺 2.0717444043826627	盛 2.0622324320040426	繁荣 2.0114656809827047	荣 1.9896374001065036
RESULT	整天.v 2101025000	整日 2.351603645154424	天天 2.1910854684095513	每天 2.078219643401288	一天 2.03277167260116	全天 1.9835108571386728	总是 1.96814665372698	成天 1.914172828546988	一直 1.8671993254164825	半天 1.7986140709590703	整晚 1.7498079445961348
RESULT	闲.v 2101025001	空闲 2.082548058751423	忙 2.0722072065787063	都忙 2.0294422986647342	闲着 1.9769850656482921	閒 1.8737872537998594	忙碌 1.8634002288768559	闲逛 1.7854676453437786	闲闲 1.6581769245303604	累 1.5012588229920003	忙活 1.4747152371726946
RESULT	吃.v 2101025005	食 1.920101660740293	喝 1.8698576339136312	做 1.5224744808581678	煮 1.4588320883576136	看 1.3418804760363687	买 1.2696548169712685	常食 1.1596805473520213	嗑 0.9975981683608383
RESULT	吃.v 2101035004	吞吃 1.2709980461770383	不吃 1.2410759545492556	喝 1.2024085847176669	得了 1.198812790785727	食 1.1687637996075495	吞 1.1591460675327254	做 1.1357013056235459	受 1.007599721476304	是 0.9253960281565174	坐 0.7340477860554263
RESULT	下饭.v 2101025007	下 1.9706008385127296	开饭 1.9689422338598548	饱 1.8741381055389799	饱饭 1.8385066190918253	下药 1.6501295411430639	吃饭 1.6135451675681078	进餐 1.517188019142545	着 1.5121360582239893	饭 1.4805258120602205	完 1.4792666940608632
RESULT	睡.v 2101025009	睡得 1.972411487850344	都睡 1.868720726227028	睡睡 1.6807189196656753	眠 1.5441596637974757	躺 1.4619771815020621	醒 1.3992338871898462	玩 1.2066839390442652	觉 1.1972398085475304	总觉 0.8150698819081134	感 0.7991919725750803
RESULT	觉.v 2101025012	床 1.5660810207626887	不觉 1.5181908666089654	眠 1.4266577722737641	睡觉 1.4125735484109447	梦 1.3996134777874556	自己 1.351383997093197	着 1.3512692996877647	醒 1.3149650264751573	头脑 1.288318062249798	自觉 1.2464095841336482
RESULT	儿子.v 2101026000	孩子 1.8974019903238801	孙子 1.7976125711415847	妻子 1.717954213927048	女儿 1.7057564253390043	他 1.680611827067474	父亲 1.672088769593743	老爸 1.6564305484605435	老婆 1.6560463942494787	老公 1.6410185488832085	爸爸 1.634821461976793
RESULT	愁.v 2101026003	忧愁 1.9296072021703308	悲伤 1.9006726618866052	忧郁 1.8890702494821552	难过 1.8483263509961028	忧伤 1.8395787303817253	苦恼 1.79103457331303	烦 1.7884965598074165	愁闷 1.758453632577876	悲哀 1.7579662655395114	难受 1.7509100357388896
RESULT	成.v 2101026004	得 2.1340853348546958	得成 1.852192747074342	到 1.793979397361261	不成 1.76917707159661	的 1.765280740906032	变成 1.7089803119980356	哭成 1.6611140869963827	瘦成 1.5123355812695296	是 1.4806705731777248	闷得 1.4681589154415555
RESULT	去.v 2101026012	出去 1.999415695920899	来 1.8955730370425172	去去 1.7845516228034037	来去 1.6929240903783767	出来 1.6512269490357934	散 1.6449995134050721	一起 1.573947145978893	出门 1.551973504105596	走去 1.5073092967716104	那里 1.5064562079917703
RESULT	去.v 2101027003	出去 2.029645159640009	来 2.014365148113089	去逛 2.0055385005213124	上街 1.9509761558416496	逛 1.9446183870027547	到 1.9307597680340811	在 1.8933439684185134	去去 1.8775948061829446	上去 1.8570913620009564	出门 1.8448471440068988
RESULT	散心.v 2101026013	散步 2.062634566696248	闲逛 1.8889138532871421	旅行 1.8717898041789	游玩 1.8038539255017945	旅游 1.8001834825421876	放松 1.7788947015130725	游览 1.7535018653755161	走走 1.725560481979386	逛逛 1.650978110213813	玩 1.636220400765683
RESULT	逛.v 2101027004	逛逛 1.9688942227006994	看 1.9675197013659056	逛街 1.887632501843561	去逛 1.855038153158849	了 1.8503768001564862	走 1.849394141628131	找 1.8249421423229313	走访 1.8022053340121986	看看 1.7489376364500506	查看 1.7456231575943684
RESULT	发现.v 2101027007	看到 1.9504242709062598	发觉 1.8867888516468796	看见 1.87372147263692	见到 1.7907483542725116	听到 1.7162628053308764	查到 1.6716465904852136	见 1.6647567255656324	找到 1.6297951862718427	觉得 1.6181072099045437	听见 1.5916842084234895
RESULT	发现.v 2102010013	发觉 2.3232413402081753	看到 2.302434470420737	得知 2.295137408640444	认为 2.2603284775841628	查出 2.240634489666746	查明 2.2349014773464537	确认 2.2114686993273667	确定 2.194306983404997	证实 2.171977519239599	获知 2.143951873378108
RESULT	门店.v 2101027009	商店 2.1542981132295616	店铺 2.1199794213018532	店面 2.0198441305286097	店 1.9204520299200378	门市 1.8992913970362904	分店 1.889111487522198	商家 1.8813157692542228	网店 1.8634086787816284	货店 1.8434114241012682	书店 1.8162781376940649
RESULT	写.v 2101027011	标 1.8150573994424317	写写 1.777686560100816	贴 1.6804775240533707	说 1.5633010348621508	喊 1.5292029800925284	挂 1.4896636287834646	签 1.4585873594517795	写有 1.4283348969866627	寫 1.2214424576253258
RESULT	写.v 2102013025	留 2.3748217352460195	签 2.362641228709696	记 2.3225758472479905	写下 2.278279169644452	写写 2.26722634274243	填 2.211883718896142	立 2.1031756612310173	寫 1.9451721598535439	创 1.8925939196189665
RESULT	店.v 2101027015	厂 1.9241262743221752	公司 1.8552261687955396	家 1.7781174991067121	铺 1.7597293019320834	商铺 1.6824999441802941	地 1.6601862108834258	人 1.6486160271139478	商家 1.6310006778654924	品牌 1.6067745061473948	品 1.5990349028912358
RESULT	绝.v 2101027016	绝对 1.9832391953187065	绝无 1.9542552154656425	全 1.807573208801241	并 1.790617602745148	毫 1.7746414786030889	极 1.6827402688014979	确 1.6820809451487175	全部 1.658853692426591	一定 1.577004959418511	一律 1.57520572148195
RESULT	保证.v 2101027021	保障 1.9498521862025426	认证 1.8064652061014486	可靠 1.7785921347797082	安全 1.7157909770139221	证明 1.6814817809224438	信誉 1.6511580256034715	证书 1.6385524474387563	保 1.6230690515067325	上乘 1.6210030184982696	证实 1.6067177028659287
RESULT	保证.v 2102005059	保障 3.380416779652851	保护 3.1613164541281367	担保 3.1445368929737376	支撑 3.1110172965625402	维护 3.055912714228036	支持 3.045833898587651	维持 3.044791088564786	承诺 3.004933280412761	认证 3.0029035052778528	保 2.990788215958357
RESULT	保证.v 2105006020	保障 2.1196870845218703	确保 2.1087699757122755	保护 1.9800313577475699	维护 1.8702076729776387	维持 1.858282723292841	防止 1.8035461005676672	了 1.7978217699442105	确证 1.7596342384976094	证明 1.7563799672527622	提高 1.7389612681828557
RESULT	敬请.v 2101027023	请 2.133268165829784	恭请 1.9120033103879952	欢迎 1.855353996637297	您 1.8151231315312952	谨慎 1.7009355510339572	可 1.6675330535227977	尽可 1.632837598146939	客户 1.6309008730537462	各位 1.6226077544841926	尽量 1.6138283073626907
RESULT	放心.v 2101027024	安心 1.9451612030659553	信任 1.7242909731096427	信赖 1.6986436111486023	信心 1.661928354774851	安全 1.643865721105505	留心 1.6354175433721096	关心 1.6166305481128689	放手 1.589461655360124	注意 1.5599975698002193	留意 1.5363763318489039
RESULT	身.v 2101028000	作 1.8212210520710452	做 1.5476737397159872	成 1.520445084746901	我 1.3547062260587057	生 1.2796117727517944	同 1.271915281148342	因 1.2600303194585638
RESULT	打.v 2101028007	打打 1.5941096103367096	连打 1.5031405644751301	踢 1.4846833049630679	拍打 1.474842309041616	给 1.4066871091460287	揍 1.3876220231338758	挨打 1.3685022759882612	踢打 1.3608528354150442	吃 1.3529264528451275	砸 1.3368162546294942
RESULT	打.v 2105007015	发 2.073337545823475	拿 1.9672308910533383	打起 1.8925959158956651	给 1.8781748519163017	要 1.876082733081647	下 1.8426344308000884	一打 1.8393930935615364	的 1.8035497116708308	还 1.7942854127367796	要求 1.7468910249998282
RESULT	打.v 2107003005	打着 2.9971673216682966	打打 2.8624678903101266	挂 2.8443835753465825	举 2.7520104050124967	顶 2.7321140968171345	带 2.7076739221506987	冒 2.665841929324892	打出 2.6632043694132506	拿 2.57322333132211	贴 2.4536013870615214
RESULT	打.v 2107004010	冒 2.547909664715193	挂 2.5313631210051684	拿 2.5126837715147086	举 2.468860055608949	借 2.348275284865395	贴 2.2363726230910257	趁 2.191731494875435
RESULT	耳刮子.v 2101028010	耳朵 1.6961815320458793	鼻子 1.5243921387428936	胡子 1.4069644363030294	扇子 1.4030725342457968	勺子 1.3764795222451323	鼻涕 1.2535463661690875	眼睛 1.221243315017499	牙子 1.2162205619631803	秃子 1.2132151229155204	肚子 1.1981518456654212
RESULT	难受.v 2101028012	痛苦 1.7350175686009304	好受 1.674106431942293	苦 1.5851180108695646	难 1.568995350395455	难忍 1.5499160096380455	难看 1.497596655235249	伤心 1.489504709396214	痛 1.4699726631877275	困难 1.4690417172659804	累 1.4614737206179957
RESULT	一刻.v 2101029002	时 1.8981031608346566	刻 1.825623355971343	时刻 1.8222124935075334	时候 1.730627661355682	天 1.660359440646739	那时 1.6024727913237036	一秒 1.6001640568640383	片刻 1.5947174550438223	瞬间 1.5943573028671179	一瞬 1.5533430213987505
RESULT	真正.v 2101029006	真的 2.0159136149220327	完全 1.8825452053243446	彻底 1.801318197667103	确实 1.7785466361696325	终于 1.7526979621023606	就 1.7307819719625988	真切 1.718376080611595	实在 1.694712887588659	真 1.6704258972153454	开始 1.6576274350630744
RESULT	真正.v 2103021003	彻底 2.275186857230282	完全 2.224994422543508	真实 2.177953504073354	切实 2.053939618975596	实际 2.0081728905597855	确实 1.9932777031079156	全面 1.969014694392205	成功 1.931635302356532	想 1.9152001214214385	正确 1.914175225517732
RESULT	明白.v 2101029007	理解 2.150281413305576	懂得 2.1069536981073025	知道 2.069976899924865	了解 2.030160598622541	清楚 2.0217819510661177	领悟 2.012994689696137	认清 1.9745526658711783	领会 1.930821875315456	认识 1.9101568182216164	搞懂 1.8890664709680847
RESULT	分量.v 2101029015	份量 2.0686193015982957	重量 1.9185094069941215	含义 1.902669194620753	意义 1.805790358793956	体量 1.767316652632746	涵义 1.7382479212182231	重要 1.7367035688261339	质量 1.7283617704737726	含量 1.6984302299727323	本质 1.6859731695168045
RESULT	本.v 2101029020	根 1.9700560101722187	源 1.9058723652192269	道 1.89934620738335	基 1.8797799457834878	根本 1.8346982905918168	根基 1.742831580617826	根源 1.7209857661297865	大本 1.7207669169865805	宝 1.709910606616757	基础 1.6668929011332898
RESULT	先是.v 2101031000	首先 2.9351422808504846	先 2.704626118634162	接着 2.2659340439618445	然后 2.213899988363355	后来 2.1384652319652075	最后 2.0810142677948513	其次 2.072668295853705	于是 1.9890507569863163	前期 1.9836697536952936	又 1.9744880417812007
RESULT	打击.v 2101031001	打 2.7217353400430806	攻击 2.436412130021561	击毙 2.384971282265035	击败 2.369701640100442	打破 2.3574701879749336	反击 2.3133189477611524	攻打 2.2791873936563007	炮击 2.2543188025182994	打打 2.1630278157993956	击 2.1487722524776256
RESULT	枪.v 2101031003	手枪 2.4622153010948304	炮 2.371075139318709	火枪 2.3465334083034044	武器 2.303798261104631	枪头 2.26265676869124	刀枪 2.2293356345198996	枪枪 2.2146536960790337	刀 2.1814491342653723	炮弹 2.1679949764923516	烟枪 2.1211687230487355
RESULT	丑.v 2101031007	美 2.1480747237828126	臭 2.1170922945342685	小丑 2.085593672567711	黑 2.051561232369787	美丑 1.9724239739338945	恶 1.9612214733659499	毒 1.78906968459594	劣 1.7643779076343569	劣等 1.6523506649564625	臭虫 1.6390165569409245
RESULT	抓.v 2101031010	抓好 2.521334568966056	打 2.3330306106758143	搞 2.2221516134605555	是 2.208001237516253	拿 2.0469592570735236	把 2.006907443953567	打击 2.000182378912366	查 1.981332286508466	看 1.9091223610843238	搞好 1.8991454457524632
RESULT	抓.v 2102003008	抓好 2.1106140771796316	抓住 2.0330743825790303	做好 1.9270259860891266	把握 1.903542187942543	做 1.8987789745500252	追求 1.8888004389629496	提高 1.8849092770402176	狠抓 1.8847877622481568	好 1.8379709049646349	保持 1.8164961310679208
RESULT	镇里.v 2101032000	镇上 2.780453719590837	城里 2.4518477416418807	村里 2.444654242766003	市里 2.4309642227163777	乡下 2.3001356012245933	镇内 2.228591017141622	县里 2.2266682493907695	乡里 2.205670194161947	镇 2.2051295558560877	区里 2.1176648770483646
RESULT	加入.v 2101032007	参加 2.308994119074661	参与 2.1469099210581493	加盟 2.0050592962313867	进入 1.9597604358378808	进来 1.9266337435492604	来 1.8156528864099966	入股 1.8029484861115936	加进 1.7986066952883835	成立 1.791416467419441	进去 1.7701515207861616
RESULT	制度.v 2101033007	体系 2.6869461634643823	体制 2.637403848469278	系统 2.6254849561318374	机制 2.6158582376799813	制 2.4961565896820788	政策 2.4711490115344246	规范 2.465579173641963	方法 2.4516523376050285	标准 2.4516501843500533	管制 2.4292854876657897
RESULT	进.v 2101033011	进入 2.5942899955488294	入 2.581466261394412	进进 2.5399084222205404	出 2.4849123709291465	进出 2.474915439118908	出进 2.4396286791961104	生产 2.3757856692036543	上 2.3647580457456865	退 2.3614407359513456	先进 2.3308192192732315
RESULT	原料.v 2101033012	材料 2.7025858889326035	料 2.632184400542956	物料 2.5636938212965608	配料 2.5253148115831747	进料 2.5195175109820953	主料 2.449519061960311	工料 2.446364663736843	材质 2.4414933988580505	辅料 2.426769331264523	资料 2.4132800577855664
RESULT	生产.v 2101033014	制造 2.6524603390812747	制作 2.5999866591895375	加工 2.576250564035471	出产 2.535548756968306	产品 2.510181645019554	产生 2.3907118980449664	出厂 2.373545356339177	工艺 2.3519544719851013	研制 2.3421509604198123	研发 2.3298266792641154
RESULT	生产.v 2102005065	产品 3.178394801853478	经营 3.084843709125308	制造 3.082993501934575	工作 3.0733855474416134	施工 3.0681113716680155	操作 3.0237335624688813	加工 3.020740457720189	作业 3.01909316603771	运行 2.9979256899384894	产业 2.9973784912757053
RESULT	生产.v 2102008007	制造 2.567242760445353	加工 2.4930916470208593	制作 2.4575162106591955	产品 2.4487598909492165	出产 2.4344223173121113	设计 2.4322281720997623	出厂 2.4294258626432543	运行 2.401797698213556	进厂 2.394022822136521	产生 2.3857830587131925
RESULT	生产.v 2102008010	制造 2.5734653458525107	出产 2.5547574397872	加工 2.5316219500903094	制作 2.498923646638823	产品 2.493863322568855	施工 2.4771895168207596	工艺 2.4613469782129602	出厂 2.4601204598431456	运行 2.4432438401582623	各种 2.425170677160795
RESULT	生产.v 2104001004	种植 2.6123445181485176	出产 2.5788899596513675	产量 2.5017010966177815	产业 2.444603127171971	增产 2.345148463874323	产 2.3397638474074194	主产 2.323182127853076	产销 2.300861921299982	生长 2.2981927425798396	制造 2.2871711134586983
RESULT	工艺.v 2101033015	技术 2.616803266448247	过程 2.583500405059169	工序 2.5672929046234256	技艺 2.5395019137654966	方法 2.5376442064941602	手艺 2.535864341982772	流程 2.5293794793671203	方式 2.4393683429904685	手段 2.4219028600267745	设备 2.378684802073767
RESULT	工艺.v 2102008011	技艺 2.5190761772943455	技术 2.5179743739248797	工序 2.4868360810687813	过程 2.462617161156763	方法 2.457497164563994	程序 2.4523739119146315	流程 2.440054031916504	手艺 2.4284152395549032	方式 2.3673025867313697	手段 2.364904564693786
RESULT	拉链缝.v 2101033021	拉链 2.775368332102315	线缝 2.536316096057724	吊链 2.4688898810993685	车缝 2.3965053528128157	链接 2.394340301414157	锁链 2.3779881210992078	车链 2.338223004356441	手链 2.317117100044327	拉绳 2.281220716589351	扣子 2.265067975186541
