RESULT	增救.v 2100005001	增援 1.0	增收 0.9	增补 0.8	增修 0.7	增强 0.6	增给 0.5	增加 0.3999999999999999	增重 0.29999999999999993
RESULT	增救.v 2100006014	增援 1.0	增加 0.9	增补 0.8	增强 0.7	增给 0.6	增修 0.5	增收 0.3999999999999999	增添 0.29999999999999993	增上 0.19999999999999996
RESULT	都.v 2102005071	都 1.0	均 0.9	皆 0.8	统统 0.7	具 0.6	俱 0.5	处处 0.3999999999999999	必须 0.29999999999999993	也 0.19999999999999996	依然 0.09999999999999998
RESULT	都.v 2102008026	都 1.0	均 0.9	全都 0.8	皆 0.7	统统 0.6	俱 0.5	始终 0.3999999999999999	处 0.29999999999999993	完全 0.19999999999999996	存 0.09999999999999998
RESULT	愿.v 2101015029	慕名 1.0	愿意 0.9	要 0.8	想 0.7	欢迎 0.6	会 0.5	情愿 0.3999999999999999	乐意 0.29999999999999993	纷纷 0.19999999999999996	爱 0.09999999999999998
RESULT	实话.v 2101019001	实话 1.0	真话 0.9	白话 0.8	话 0.7	来话 0.6	的话 0.5	着 0.3999999999999999	事实 0.29999999999999993	道 0.19999999999999996	到底 0.09999999999999998
RESULT	真.v 2101019004	真 1.0	确 0.9	还 0.8	根本 0.7	的确 0.6	倒 0.5	当真 0.3999999999999999	着实 0.29999999999999993	并 0.19999999999999996	完全 0.09999999999999998
RESULT	发展.v 2101020005	发展 1.0	进步 0.9	扩大 0.8	进入 0.7	增长 0.6	成长 0.5	扩展 0.3999999999999999	开发 0.29999999999999993	拓展 0.19999999999999996	进展 0.09999999999999998
RESULT	发展.v 2108001007	发展 1.0	进步 0.9	提高 0.8	增长 0.7	扩展 0.6	前进 0.5	进展 0.3999999999999999	扩大 0.29999999999999993	崛起 0.19999999999999996	拓展 0.09999999999999998
RESULT	高峰.v 2101020008	高峰 1.0	峰值 0.9	顶峰 0.8	巅峰 0.7	极点 0.6	极高 0.5	峰顶 0.3999999999999999	鼎盛 0.29999999999999993	极致 0.19999999999999996	阶段 0.09999999999999998
RESULT	客流量.v 2101020011	客流量 1.0	流量 0.9	产量 0.8	交易量 0.7	客源 0.6	客商 0.5	客户 0.3999999999999999	客人 0.29999999999999993	达 0.19999999999999996	交易 0.09999999999999998
RESULT	毛收入.v 2101021007	毛收入 1.0	收入 0.9	工资 0.8	纯收入 0.7	净收入 0.6	开支 0.5	营业收入 0.3999999999999999	所得 0.29999999999999993	平均收入 0.19999999999999996	毛利润 0.09999999999999998
RESULT	多.v 2101021012	多 1.0	大 0.9	过多 0.8	高 0.7	更多 0.6	顶多 0.5	太多 0.3999999999999999	居多 0.29999999999999993	有时 0.19999999999999996	较多 0.09999999999999998
RESULT	多.v 2102010031	多 1.0	大 0.9	少 0.8	增加 0.7	高 0.6	相差 0.5	超 0.3999999999999999	更多 0.29999999999999993	差 0.19999999999999996	远 0.09999999999999998
RESULT	多.v 2107003001	多 1.0	加多 0.9	大 0.8	增多 0.7	高 0.6	好 0.5	过多 0.3999999999999999	新 0.29999999999999993	越多 0.19999999999999996	早 0.09999999999999998
RESULT	上万元.v 2101021014	几百元 1.0	几千元 0.9	几十万元 0.8	几万元 0.7	数万元 0.6	千万元 0.5	数百元 0.3999999999999999	千元 0.29999999999999993	达到 0.19999999999999996	近乎 0.09999999999999998
RESULT	商品.v 2101022005	商品 1.0	货品 0.9	产品 0.8	品 0.7	物品 0.6	货物 0.5	杂货 0.3999999999999999	商贩 0.29999999999999993	食品 0.19999999999999996	药品 0.09999999999999998
RESULT	泛滥.v 2101022006	泛滥 1.0	横行 0.9	充斥 0.8	盛行 0.7	滥发 0.6	肆虐 0.5	滥用 0.3999999999999999	多 0.29999999999999993	猖獗 0.19999999999999996	纵横 0.09999999999999998
RESULT	新闻.v 2101022012	新闻 1.0	媒体 0.9	有关 0.8	宣传 0.7	供应 0.6	记者 0.5	消息 0.3999999999999999	相干 0.29999999999999993	报道 0.19999999999999996	传媒 0.09999999999999998
RESULT	单位.v 2101022013	单位 1.0	媒介 0.9	机关 0.8	部门 0.7	媒体 0.6	机构 0.5	组织 0.3999999999999999	人士 0.29999999999999993	记者 0.19999999999999996	出版 0.09999999999999998
RESULT	单位.v 2102006030	单位 1.0	部门 0.9	机关 0.8	企业 0.7	公司 0.6	职位 0.5	机构 0.3999999999999999	行业 0.29999999999999993	岗位 0.19999999999999996	位 0.09999999999999998
RESULT	曝.v 2101022014	曝光 1.0	揭露 0.9	报道 0.8	查处 0.7	披露 0.6	发现 0.5	辟谣 0.3999999999999999	宣传 0.29999999999999993	公布 0.19999999999999996	通报 0.09999999999999998
RESULT	光.v 2101022016	光 1.0	出来 0.9	一空 0.8	空 0.7	火 0.6	起来 0.5	面 0.3999999999999999	过来 0.29999999999999993	扬长 0.19999999999999996	尽 0.09999999999999998
RESULT	人们.v 2101023000	人们 1.0	人人 0.9	大家 0.8	人 0.7	人民 0.6	众人 0.5	他们 0.3999999999999999	世人 0.29999999999999993	人均 0.19999999999999996	大众 0.09999999999999998
RESULT	人们.v 2102001003	人们 1.0	我们 0.9	大众 0.8	大家 0.7	世人 0.6	民众 0.5	人民 0.3999999999999999	大人 0.29999999999999993	人人 0.19999999999999996	许多 0.09999999999999998
RESULT	人们.v 2106004011	人们 1.0	人人 0.9	人类 0.8	社会 0.7	众人 0.6	大家 0.5	大众 0.3999999999999999	群众 0.29999999999999993	网民 0.19999999999999996	人民 0.09999999999999998
RESULT	人们.v 2106004019	社会 1.0	大家 0.9	大众 0.8	世人 0.7	群众 0.6	群体 0.5	居民 0.3999999999999999	大人 0.29999999999999993	网民 0.19999999999999996	一般 0.09999999999999998
RESULT	敢.v 2101023007	敢 1.0	能 0.9	愿意 0.8	会 0.7	可以 0.6	想 0.5	肯 0.3999999999999999	爱 0.29999999999999993	胆 0.19999999999999996	勇 0.09999999999999998
RESULT	敢.v 2101023014	能够 1.0	愿意 0.9	胆敢 0.8	可以 0.7	不敢 0.6	会 0.5	勇敢 0.3999999999999999	好 0.29999999999999993	值得 0.19999999999999996	大胆 0.09999999999999998
RESULT	敢.v 2101042010	敢 1.0	大胆 0.9	可以 0.8	能 0.7	居然 0.6	勇于 0.5	竟敢 0.3999999999999999	愿意 0.29999999999999993	不敢 0.19999999999999996	真敢 0.09999999999999998
RESULT	买.v 2101023008	买 1.0	购买 0.9	卖 0.8	吃 0.7	采购 0.6	选 0.5	要 0.3999999999999999	用 0.29999999999999993	抢购 0.19999999999999996	品尝 0.09999999999999998
RESULT	惹.v 2101023015	冒险 1.0	来往 0.9	靠近 0.8	招惹 0.7	侵犯 0.6	接触 0.5	认识 0.3999999999999999	干涉 0.29999999999999993	瞧见 0.19999999999999996	惹事 0.09999999999999998
RESULT	冷清.v 2101024004	冷清 1.0	清淡 0.9	萧条 0.8	寂静 0.7	热闹 0.6	静寂 0.5	清冷 0.3999999999999999	惨淡 0.29999999999999993	荒凉 0.19999999999999996	乱杂 0.09999999999999998
RESULT	下来.v 2101024005	起来 1.0	了 0.9	过去 0.8	不堪 0.7	过来 0.6	无声 0.5	寂静 0.3999999999999999	落下 0.29999999999999993	开来 0.19999999999999996	以来 0.09999999999999998
RESULT	下来.v 2101034009	住 1.0	下去 0.9	死 0.8	上去 0.7	掉 0.6	下来 0.5	着 0.3999999999999999	进去 0.29999999999999993	上来 0.19999999999999996	扣下 0.09999999999999998
RESULT	买卖.v 2101024009	生意 1.0	交易 0.9	货物 0.8	商品 0.7	买卖 0.6	商贩 0.5	行业 0.3999999999999999	小生 0.29999999999999993	商业 0.19999999999999996	商务 0.09999999999999998
RESULT	买卖.v 2101044008	生意 1.0	交易 0.9	买卖 0.8	小生 0.7	行当 0.6	行业 0.5	业务 0.3999999999999999	商务 0.29999999999999993	商业 0.19999999999999996	事业 0.09999999999999998
RESULT	跟着.v 2101024011	跟着 1.0	随之 0.9	跟 0.8	跟著 0.7	随即 0.6	随着 0.5	相继 0.3999999999999999	接着 0.29999999999999993	开始 0.19999999999999996	随同 0.09999999999999998
RESULT	衰.v 2101024012	减少 1.0	倒闭 0.9	走下 0.8	停滞 0.7	萧条 0.6	淡 0.5	乱 0.3999999999999999	惨淡 0.29999999999999993	萎缩 0.19999999999999996	破产 0.09999999999999998
RESULT	衰.v 2101045006	衰 1.0	亡 0.9	盛 0.8	败 0.7	颓 0.6	退 0.5	弱 0.3999999999999999	废 0.29999999999999993	灭 0.19999999999999996	坏 0.09999999999999998
RESULT	衰.v 2101045009	盛 1.0	颓 0.9	弱 0.8	亡 0.7	败 0.6	强 0.5	旺 0.3999999999999999	退 0.29999999999999993	枯 0.19999999999999996	荣 0.09999999999999998
RESULT	整天.v 2101025000	整天 1.0	一天 0.9	天天 0.8	每天 0.7	总 0.6	一直 0.5	整日 0.3999999999999999	一整 0.29999999999999993	全天 0.19999999999999996	终日 0.09999999999999998
RESULT	闲.v 2101025001	忙 1.0	闲 0.9	空闲 0.8	无事 0.7	没事 0.6	工作 0.5	呆 0.3999999999999999	玩 0.29999999999999993	耽 0.19999999999999996	干活 0.09999999999999998
RESULT	吃.v 2101025005	吃 1.0	吞 0.9	食 0.8	饭 0.7	做 0.6	煮 0.5	嚼 0.3999999999999999	尝 0.29999999999999993	饿 0.19999999999999996	喝 0.09999999999999998
RESULT	吃.v 2101035004	吃 1.0	吞 0.9	享受 0.8	亏 0.7	食 0.6	受 0.5	拿 0.3999999999999999	赚 0.29999999999999993	贪 0.19999999999999996	喝 0.09999999999999998
RESULT	下饭.v 2101025007	下饭 1.0	饱 0.9	完 0.8	下去 0.7	下 0.6	消化 0.5	下午 0.3999999999999999	饱饭 0.29999999999999993	好 0.19999999999999996	下来 0.09999999999999998
RESULT	睡.v 2101025009	睡 1.0	沉睡 0.9	躺 0.8	入睡 0.7	醒 0.6	眠 0.5	安睡 0.3999999999999999	休息 0.29999999999999993	酣睡 0.19999999999999996	昏睡 0.09999999999999998
RESULT	觉.v 2101025012	觉 1.0	午觉 0.9	懒觉 0.8	头 0.7	安稳 0.6	眠 0.5	灵魂 0.3999999999999999	了 0.29999999999999993	身子 0.19999999999999996	想 0.09999999999999998
RESULT	儿子.v 2101026000	儿子 1.0	父亲 0.9	小子 0.8	孩子 0.7	小孩 0.6	老公 0.5	爸爸 0.3999999999999999	老婆 0.29999999999999993	子 0.19999999999999996	妻子 0.09999999999999998
RESULT	愁.v 2101026003	愁 1.0	忧愁 0.9	苦恼 0.8	难过 0.7	哭 0.6	郁闷 0.5	焦虑 0.3999999999999999	哀愁 0.29999999999999993	发愁 0.19999999999999996	颓唐 0.09999999999999998
RESULT	成.v 2101026004	成 1.0	得 0.9	变成 0.8	到 0.7	哭成 0.6	滋滋 0.5	结成 0.3999999999999999	病成 0.29999999999999993	情绪 0.19999999999999996	郁成 0.09999999999999998
RESULT	去.v 2101026012	前去 1.0	过去 0.9	赶去 0.8	来 0.7	出去 0.6	往 0.5	到处 0.3999999999999999	走去 0.29999999999999993	里 0.19999999999999996	那里 0.09999999999999998
RESULT	去.v 2101027003	去 1.0	前往 0.9	过去 0.8	走进 0.7	出去 0.6	到处 0.5	来到 0.3999999999999999	进入 0.29999999999999993	上街 0.19999999999999996	往 0.09999999999999998
RESULT	散心.v 2101026013	旅行 1.0	游玩 0.9	旅游 0.8	玩 0.7	探亲 0.6	逛 0.5	走走 0.3999999999999999	逛逛 0.29999999999999993	散步 0.19999999999999996	游 0.09999999999999998
RESULT	逛.v 2101027004	逛 1.0	看 0.9	到 0.8	走访 0.7	了 0.6	查 0.5	观察 0.3999999999999999	游逛 0.29999999999999993	买 0.19999999999999996	找 0.09999999999999998
RESULT	发现.v 2101027007	发现 1.0	发觉 0.9	看到 0.8	见 0.7	察觉 0.6	看见 0.5	瞥见 0.3999999999999999	觉得 0.29999999999999993	眼见 0.19999999999999996	见到 0.09999999999999998
RESULT	发现.v 2102010013	发现 1.0	发觉 0.9	察觉 0.8	觉察 0.7	得知 0.6	认为 0.5	看到 0.3999999999999999	认识 0.29999999999999993	见到 0.19999999999999996	查看 0.09999999999999998
RESULT	门店.v 2101027009	门店 1.0	门牌 0.9	店铺 0.8	商店 0.7	门面 0.6	小店 0.5	店 0.3999999999999999	店面 0.29999999999999993	商铺 0.19999999999999996	饭店 0.09999999999999998
RESULT	写.v 2101027011	写 1.0	标 0.9	刻 0.8	书写 0.7	印 0.6	贴 0.5	签 0.3999999999999999	显示 0.29999999999999993	注明 0.19999999999999996	挂 0.09999999999999998
RESULT	写.v 2102013025	写 1.0	签 0.9	书写 0.8	填写 0.7	撰写 0.6	留 0.5	打印 0.3999999999999999	注明 0.29999999999999993	标出 0.19999999999999996	记录 0.09999999999999998
RESULT	店.v 2101027015	人 1.0	厂 0.9	铺 0.8	小店 0.7	公司 0.6	站 0.5	地 0.3999999999999999	家 0.29999999999999993	行 0.19999999999999996	庄 0.09999999999999998
RESULT	绝.v 2101027016	绝 1.0	并非 0.9	拒绝 0.8	不出 0.7	没有 0.6	决 0.5	远销 0.3999999999999999	断 0.29999999999999993	禁绝 0.19999999999999996	暂 0.09999999999999998
RESULT	保证.v 2101027021	保证 1.0	保障 0.9	可靠 0.8	认证 0.7	承保 0.6	可证 0.5	证明 0.3999999999999999	确保 0.29999999999999993	保险 0.19999999999999996	稳定 0.09999999999999998
RESULT	保证.v 2102005059	保证 1.0	保障 0.9	支撑 0.8	依据 0.7	确保 0.6	支持 0.5	证 0.3999999999999999	承保 0.29999999999999993	根本 0.19999999999999996	佐证 0.09999999999999998
RESULT	保证.v 2105006020	保证 1.0	确保 0.9	保障 0.8	保持 0.7	维持 0.6	保护 0.5	保住 0.3999999999999999	维护 0.29999999999999993	保卫 0.19999999999999996	担保 0.09999999999999998
RESULT	敬请.v 2101027023	请 1.0	请客 0.9	请安 0.8	请予 0.7	敬请 0.6	您 0.5	可 0.3999999999999999	请求 0.29999999999999993	顾客 0.19999999999999996	求 0.09999999999999998
RESULT	放心.v 2101027024	放心 1.0	信任 0.9	安心 0.8	信赖 0.7	谅解 0.6	相信 0.5	监督 0.3999999999999999	理解 0.29999999999999993	允许 0.19999999999999996	遵守 0.09999999999999998
RESULT	身.v 2101028000	身 1.0	作 0.9	做 0.8	化作 0.7	自称 0.6	成 0.5	行 0.3999999999999999	一身 0.29999999999999993	出身 0.19999999999999996	现 0.09999999999999998
RESULT	打.v 2101028007	打 1.0	揍 0.9	击打 0.8	殴打 0.7	敲打 0.6	鞭打 0.5	攻击 0.3999999999999999	拳打 0.29999999999999993	拍打 0.19999999999999996	踢 0.09999999999999998
RESULT	打.v 2105007015	打 1.0	开 0.9	还清 0.8	签 0.7	写 0.6	索取 0.5	发 0.3999999999999999	支付 0.29999999999999993	赔偿 0.19999999999999996	给付 0.09999999999999998
RESULT	打.v 2107003005	打 1.0	主张 0.9	借 0.8	靠 0.7	忙 0.6	秉 0.5	瞄 0.3999999999999999	本 0.29999999999999993	睁 0.19999999999999996	旗帜 0.09999999999999998
RESULT	打.v 2107004010	打 1.0	借 0.9	捏 0.8	冒 0.7	贩子 0.6	带 0.5	靠 0.3999999999999999	拿 0.29999999999999993	抬 0.19999999999999996	敲 0.09999999999999998
RESULT	耳刮子.v 2101028010	耳朵 1.0	耳光 0.9	耳刮子 0.8	耳洞 0.7	耳针 0.6	耳钉 0.5	耳垂 0.3999999999999999	耳环 0.29999999999999993	耳穴 0.19999999999999996	耳孔 0.09999999999999998
RESULT	难受.v 2101028012	难受 1.0	痛苦 0.9	苦 0.8	难堪 0.7	不好 0.6	疼 0.5	可怕 0.3999999999999999	难 0.29999999999999993	烦 0.19999999999999996	惨 0.09999999999999998
RESULT	一刻.v 2101029002	一刻 1.0	时 0.9	刻 0.8	一天 0.7	一时 0.6	时刻 0.5	一刹 0.3999999999999999	一瞬 0.29999999999999993	天 0.19999999999999996	时候 0.09999999999999998
RESULT	真正.v 2101029006	真正 1.0	彻底 0.9	完全 0.8	开始 0.7	真真 0.6	真的 0.5	正式 0.3999999999999999	深刻 0.29999999999999993	深深 0.19999999999999996	实际 0.09999999999999998
RESULT	真正.v 2103021003	真正 1.0	彻底 0.9	切实 0.8	真的 0.7	确实 0.6	真真 0.5	实现 0.3999999999999999	实际 0.29999999999999993	真实 0.19999999999999996	实实 0.09999999999999998
RESULT	明白.v 2101029007	明白 1.0	理解 0.9	懂得 0.8	领会 0.7	领悟 0.6	清楚 0.5	知道 0.3999999999999999	弄清 0.29999999999999993	懂 0.19999999999999996	知晓 0.09999999999999998
RESULT	分量.v 2101029015	重要 1.0	分量 0.9	含义 0.8	重量 0.7	份量 0.6	意义 0.5	力量 0.3999999999999999	含金 0.29999999999999993	价值 0.19999999999999996	意思 0.09999999999999998
RESULT	本.v 2101029020	本 1.0	基 0.9	根 0.8	道 0.7	路 0.6	源 0.5	要 0.3999999999999999	魂 0.29999999999999993	大忌 0.19999999999999996	首 0.09999999999999998
RESULT	先是.v 2101031000	先是 1.0	首先 0.9	率先 0.8	先行 0.7	先 0.6	最先 0.5	先期 0.3999999999999999	第一 0.29999999999999993	先要 0.19999999999999996	前期 0.09999999999999998
RESULT	打击.v 2101031001	打击 1.0	击中 0.9	击退 0.8	攻击 0.7	击倒 0.6	攻克 0.5	击落 0.3999999999999999	击溃 0.29999999999999993	击打 0.19999999999999996	击发 0.09999999999999998
RESULT	枪.v 2101031003	枪 1.0	手枪 0.9	步枪 0.8	武器 0.7	机枪 0.6	兵 0.5	子弹 0.3999999999999999	小枪 0.29999999999999993	射 0.19999999999999996	炮 0.09999999999999998
RESULT	丑.v 2101031007	丑 1.0	小丑 0.9	皮 0.8	美 0.7	臭 0.6	假 0.5	恶 0.3999999999999999	妓 0.29999999999999993	油 0.19999999999999996	贼 0.09999999999999998
RESULT	抓.v 2101031010	抓 1.0	追求 0.9	搞 0.8	靠 0.7	以 0.6	用 0.5	力抓 0.3999999999999999	办 0.29999999999999993	着力 0.19999999999999996	讲 0.09999999999999998
RESULT	抓.v 2102003008	抓 1.0	提高 0.9	追求 0.8	搞 0.7	做好 0.6	加强 0.5	管理 0.3999999999999999	控制 0.29999999999999993	质量 0.19999999999999996	其 0.09999999999999998
RESULT	镇里.v 2101032000	镇里 1.0	乡里 0.9	村 0.8	村里 0.7	乡镇 0.6	河里 0.5	地里 0.3999999999999999	小 0.29999999999999993	市里 0.19999999999999996	城里 0.09999999999999998
RESULT	加入.v 2101032007	参加 1.0	参与 0.9	加入 0.8	加盟 0.7	进入 0.6	入股 0.5	进去 0.3999999999999999	入伙 0.29999999999999993	投入 0.19999999999999996	进 0.09999999999999998
RESULT	制度.v 2101033007	制度 1.0	体系 0.9	体制 0.8	程序 0.7	机制 0.6	系统 0.5	规章 0.3999999999999999	标准 0.29999999999999993	模式 0.19999999999999996	措施 0.09999999999999998
RESULT	进.v 2101033011	进 1.0	采购 0.9	引进 0.8	入 0.7	加工 0.6	选料 0.5	生产 0.3999999999999999	供应 0.29999999999999993	投入 0.19999999999999996	输入 0.09999999999999998
RESULT	原料.v 2101033012	原料 1.0	料 0.9	原材 0.8	材料 0.7	入原 0.6	产品 0.5	用料 0.3999999999999999	材 0.29999999999999993	货 0.19999999999999996	货物 0.09999999999999998
RESULT	生产.v 2101033014	生产 1.0	加 0.9	出产 0.8	作业 0.7	成型 0.6	成品 0.5	做 0.3999999999999999	操作 0.29999999999999993	产生 0.19999999999999996	产 0.09999999999999998
RESULT	生产.v 2102005065	生产 1.0	加工 0.9	产品 0.8	出产 0.7	产生 0.6	产业 0.5	产出 0.3999999999999999	施工 0.29999999999999993	开发 0.19999999999999996	运行 0.09999999999999998
RESULT	生产.v 2102008007	生产 1.0	制造 0.9	加工 0.8	制作 0.7	产生 0.6	出产 0.5	成品 0.3999999999999999	产品 0.29999999999999993	成型 0.19999999999999996	开发 0.09999999999999998
RESULT	生产.v 2102008010	制造 1.0	加 0.9	制作 0.8	出产 0.7	成型 0.6	操作 0.5	设计 0.3999999999999999	进行 0.29999999999999993	成品 0.19999999999999996	作业 0.09999999999999998
RESULT	生产.v 2104001004	生产 1.0	出产 0.9	产量 0.8	种植 0.7	产 0.6	制种 0.5	产业 0.3999999999999999	产出 0.29999999999999993	出口 0.19999999999999996	制作 0.09999999999999998
RESULT	工艺.v 2101033015	工艺 1.0	流程 0.9	过程 0.8	工序 0.7	程序 0.6	技术 0.5	加工 0.3999999999999999	手艺 0.29999999999999993	设备 0.19999999999999996	方法 0.09999999999999998
RESULT	工艺.v 2102008011	工艺 1.0	工序 0.9	技术 0.8	设备 0.7	流程 0.6	操作 0.5	加工 0.3999999999999999	方法 0.29999999999999993	机械 0.19999999999999996	线路 0.09999999999999998
RESULT	拉链缝.v 2101033021	链子 1.0
RESULT	多少.v 2101033022	多少 1.0	好多 0.9	几 0.8	过多 0.7	好几 0.6	十 0.5
RESULT	针.v 2101033023	针 1.0	孔 0.9	线 0.8	洞 0.7	刺 0.6	針 0.5	毫针 0.3999999999999999	穴 0.29999999999999993	扎针 0.19999999999999996	毛刺 0.09999999999999998
RESULT	龟.v 2101033028	龟 1.0	蛇 0.9	鱼 0.8	猫 0.7	鼠 0.6	猬 0.5	鸡 0.3999999999999999	狗 0.29999999999999993	虎 0.19999999999999996	鸟 0.09999999999999998
RESULT	爪儿.v 2101033029	爪儿 1.0	爪 0.9	爪子 0.8	牙齿 0.7	脚 0.6	爪牙 0.5	脚爪 0.3999999999999999	毛 0.29999999999999993	爪痕 0.19999999999999996	角儿 0.09999999999999998
RESULT	方言.v 2101033032	方言 1.0	话 0.9	语言 0.8	口语 0.7	口音 0.6	官话 0.5	普通 0.3999999999999999	语 0.29999999999999993	地方 0.19999999999999996	土话 0.09999999999999998
RESULT	规定.v 2101033036	规矩 1.0	标准 0.9	指南 0.8	指示 0.7	咬定 0.6	定律 0.5	命令 0.3999999999999999	规定 0.29999999999999993	指令 0.19999999999999996	指数 0.09999999999999998
RESULT	规定.v 2104008011	规定 1.0	制定 0.9	确定 0.8	明确 0.7	明令 0.6	定下 0.5	指定 0.3999999999999999	设定 0.29999999999999993	统一 0.19999999999999996	下达 0.09999999999999998
RESULT	编者注.v 2101033038	编者注 1.0	撰文 0.9	文 0.8	编者按 0.7	注 0.6	引用 0.5	参见 0.3999999999999999	校对 0.29999999999999993	书评 0.19999999999999996
RESULT	遵守.v 2101034002	守 1.0	遵守 0.9	守信 0.8	守时 0.7	从 0.6	执行 0.5	守纪 0.3999999999999999	严格 0.29999999999999993	守法 0.19999999999999996	守则 0.09999999999999998
RESULT	成品.v 2101034004	成品 1.0	产品 0.9	样品 0.8	制品 0.7	货品 0.6	品质 0.5	原料 0.3999999999999999	作品 0.29999999999999993	商品 0.19999999999999996	质量 0.09999999999999998
RESULT	检验.v 2101034005	检验 1.0	验收 0.9	审核 0.8	测试 0.7	检查 0.6	核对 0.5	复核 0.3999999999999999	考核 0.29999999999999993	核查 0.19999999999999996	鉴定 0.09999999999999998
RESULT	检验.v 2102006034	检验 1.0	检测 0.9	检查 0.8	验收 0.7	检定 0.6	鉴定 0.5	测试 0.3999999999999999	认证 0.29999999999999993	试验 0.19999999999999996	研究 0.09999999999999998
RESULT	检验.v 2102010003	检验 1.0	检测 0.9	质检 0.8	验收 0.7	检查 0.6	实验 0.5	考核 0.3999999999999999	审核 0.29999999999999993	监理 0.19999999999999996	技术 0.09999999999999998
RESULT	检验.v 2102013022	验收 1.0	质检 0.9	质量 0.8	试验 0.7	抽样 0.6	抽检 0.5	核查 0.3999999999999999	校验 0.29999999999999993	查验 0.19999999999999996	实验 0.09999999999999998
RESULT	卡.v 2101034008	扣 1.0	打折 0.9	挂掉 0.8	关掉 0.7	拿 0.6	倒 0.5	卡 0.3999999999999999	拖 0.29999999999999993	被扣 0.19999999999999996	搁 0.09999999999999998
RESULT	原来.v 2101035000	原来 1.0	原本 0.9	本来 0.8	原先 0.7	原始 0.6	看来 0.5	原是 0.3999999999999999	原因 0.29999999999999993	原以 0.19999999999999996	原初 0.09999999999999998
RESULT	净.v 2101035003	全 1.0	还 0.9	净 0.8	干净 0.7	实在 0.6	正 0.5	并不 0.3999999999999999	却 0.29999999999999993	完全 0.19999999999999996	平素 0.09999999999999998
RESULT	名.v 2101035007	名分 1.0	姓名 0.9	大名 0.8	著名 0.7	味儿 0.6	性情 0.5	知名 0.3999999999999999	着名 0.29999999999999993	声名 0.19999999999999996	品位 0.09999999999999998
RESULT	儿.v 2101035009	字 1.0	儿 0.9	牌 0.8	利 0.7	姓 0.6	色 0.5	味 0.3999999999999999	子 0.29999999999999993	性 0.19999999999999996	分 0.09999999999999998
RESULT	亏.v 2101035011	苦 1.0	亏 0.9	甜头 0.8	大亏 0.7	馋 0.6	白饭 0.5	糊涂 0.3999999999999999	饭 0.29999999999999993	小亏 0.19999999999999996	好处 0.09999999999999998
RESULT	白沟产.v 2101036000	白沟 1.0	白沟镇 0.9
RESULT	箱包.v 2101036002	箱包 1.0	皮包 0.9	包 0.8	皮带 0.7	包裹 0.6	包包 0.5	布袋 0.3999999999999999	皮具 0.29999999999999993	鞋子 0.19999999999999996	包袋 0.09999999999999998
RESULT	运.v 2101036004	运 1.0	搬 0.9	放 0.8	贩运 0.7	输 0.6	卖 0.5	送 0.3999999999999999	寄 0.29999999999999993	转运 0.19999999999999996	装 0.09999999999999998
RESULT	城市.v 2101036007	城市 1.0	都市 0.9	地方 0.8	城镇 0.7	地 0.6	都会 0.5	小城 0.3999999999999999	地头 0.29999999999999993	地上 0.19999999999999996	中城 0.09999999999999998
RESULT	缝.v 2101036008	粘 1.0	贴 0.9	缝 0.8	擦 0.7	挂 0.6	扯 0.5	绑 0.3999999999999999	拼 0.29999999999999993	盖 0.19999999999999996	封 0.09999999999999998
RESULT	商标.v 2101036011	标牌 1.0	商标 0.9	标志 0.8	标识 0.7	标签 0.6	标记 0.5	名牌 0.3999999999999999	标 0.29999999999999993	品牌 0.19999999999999996	牌子 0.09999999999999998
RESULT	商标.v 2101037027	品牌 1.0	专用 0.9	名牌 0.8	名称 0.7	品名 0.6	牌子 0.5	驰名 0.3999999999999999	牌号 0.29999999999999993	著名 0.19999999999999996	字母 0.09999999999999998
RESULT	价钱.v 2101036013	价钱 1.0	价格 0.9	售价 0.8	钱 0.7	价位 0.6	价值 0.5	成本 0.3999999999999999	报价 0.29999999999999993	价 0.19999999999999996	费用 0.09999999999999998
RESULT	翻.v 2101036015	翻番 1.0	涨 0.9	增加 0.8	飙升 0.7	飞涨 0.6	跌落 0.5	下跌 0.3999999999999999	暴涨 0.29999999999999993	便宜 0.19999999999999996	滚翻 0.09999999999999998
RESULT	注册.v 2101037006	注册 1.0	申请 0.9	登记 0.8	认定 0.7	备案 0.6	认证 0.5	授权 0.3999999999999999	申报 0.29999999999999993	核准 0.19999999999999996	许可 0.09999999999999998
RESULT	供.v 2101037029	供 1.0	给 0.9	让 0.8	提供 0.7	献给 0.6	备 0.5	使 0.3999999999999999	作为 0.29999999999999993	用于 0.19999999999999996	由 0.09999999999999998
RESULT	加工.v 2101037031	加工 1.0	生产 0.9	用 0.8	客 0.7	采购 0.6	制造 0.5	制作 0.3999999999999999	出口 0.29999999999999993	工人 0.19999999999999996	操作 0.09999999999999998
RESULT	加工.v 2101039004	加工 1.0	生产 0.9	工人 0.8	采购 0.7	出口 0.6	出产 0.5	工厂 0.3999999999999999	制造 0.29999999999999993	农 0.19999999999999996	劳动 0.09999999999999998
RESULT	加工.v 2104006016	加工 1.0	制作 0.9	生产 0.8	制造 0.7	切割 0.6	作业 0.5	工作 0.3999999999999999	操作 0.29999999999999993	打工 0.19999999999999996	打磨 0.09999999999999998
RESULT	户.v 2101037032	户 1.0	厂 0.9	者 0.8	用户 0.7	人员 0.6	企业 0.5	农户 0.3999999999999999	业者 0.29999999999999993	方 0.19999999999999996	大户 0.09999999999999998
