RESULT	增救.v 2100005001	增援 1.0	增收 0.9	增补 0.8	增修 0.7	增给 0.6	增强 0.5	增生 0.3999999999999999	增加 0.29999999999999993
RESULT	增救.v 2100006014	增援 1.0	增补 0.9	增加 0.8	增强 0.7	增给 0.6	增修 0.5	增收 0.3999999999999999	增添 0.29999999999999993	增上 0.19999999999999996
RESULT	觉.v 2101025012	觉 1.0	午觉 0.9	眠 0.8	懒觉 0.7	安稳 0.6	头 0.5	心 0.3999999999999999	灵魂 0.29999999999999993	神 0.19999999999999996	了 0.09999999999999998
RESULT	儿子.v 2101026000	儿子 1.0	父亲 0.9	孩子 0.8	老婆 0.7	小子 0.6	老公 0.5	小孩 0.3999999999999999	爸爸 0.29999999999999993	子 0.19999999999999996	老爸 0.09999999999999998
RESULT	愁.v 2101026003	愁 1.0	忧愁 0.9	苦恼 0.8	哭 0.7	难过 0.6	郁闷 0.5	哀愁 0.3999999999999999	焦虑 0.29999999999999993	发愁 0.19999999999999996	颓唐 0.09999999999999998
RESULT	成.v 2101026004	成 1.0	得 0.9	变成 0.8	哭成 0.7	到 0.6	滋滋 0.5	结成 0.3999999999999999	郁成 0.29999999999999993	病成 0.19999999999999996	情绪 0.09999999999999998
RESULT	去.v 2101026012	前去 1.0	过去 0.9	来 0.8	赶去 0.7	出去 0.6	往 0.5	到处 0.3999999999999999	走去 0.29999999999999993	进去 0.19999999999999996	里 0.09999999999999998
RESULT	去.v 2101027003	去 1.0	前往 0.9	过去 0.8	走进 0.7	到处 0.6	出去 0.5	进去 0.3999999999999999	来到 0.29999999999999993	上街 0.19999999999999996	往 0.09999999999999998
RESULT	散心.v 2101026013	游玩 1.0	旅行 0.9	旅游 0.8	玩 0.7	逛 0.6	游 0.5	游览 0.3999999999999999	走走 0.29999999999999993	探亲 0.19999999999999996	逛逛 0.09999999999999998
RESULT	逛.v 2101027004	逛 1.0	看 0.9	到 0.8	了 0.7	走访 0.6	游览 0.5	查 0.3999999999999999	买 0.29999999999999993	找 0.19999999999999996	玩 0.09999999999999998
RESULT	发现.v 2101027007	发现 1.0	见 0.9	发觉 0.8	看到 0.7	瞥见 0.6	察觉 0.5	觉得 0.3999999999999999	看见 0.29999999999999993	见到 0.19999999999999996	望见 0.09999999999999998
RESULT	发现.v 2102010013	发现 1.0	发觉 0.9	察觉 0.8	觉察 0.7	得知 0.6	看到 0.5	认为 0.3999999999999999	见到 0.29999999999999993	认识 0.19999999999999996	觉得 0.09999999999999998
RESULT	门店.v 2101027009	门店 1.0	门牌 0.9	店铺 0.8	商店 0.7	小店 0.6	门面 0.5	商铺 0.3999999999999999	店 0.29999999999999993	店面 0.19999999999999996	饭店 0.09999999999999998
RESULT	写.v 2101027011	写 1.0	标 0.9	刻 0.8	书写 0.7	印 0.6	贴 0.5	显示 0.3999999999999999	签 0.29999999999999993	挂 0.19999999999999996	赫然 0.09999999999999998
RESULT	写.v 2102013025	写 1.0	签 0.9	书写 0.8	填写 0.7	留 0.6	打印 0.5	撰写 0.3999999999999999	标出 0.29999999999999993	注明 0.19999999999999996	记录 0.09999999999999998
RESULT	店.v 2101027015	厂 1.0	人 0.9	小店 0.8	铺 0.7	站 0.6	地 0.5	家 0.3999999999999999	公司 0.29999999999999993	行 0.19999999999999996	庄 0.09999999999999998
RESULT	绝.v 2101027016	绝 1.0	并非 0.9	拒绝 0.8	不存 0.7	决 0.6	断 0.5	远 0.3999999999999999	没有 0.29999999999999993	暂 0.19999999999999996	恕 0.09999999999999998
RESULT	保证.v 2101027021	保证 1.0	可靠 0.9	保障 0.8	认证 0.7	承保 0.6	可证 0.5	确保 0.3999999999999999	稳定 0.29999999999999993	证明 0.19999999999999996	严格 0.09999999999999998
RESULT	保证.v 2102005059	保证 1.0	保障 0.9	支撑 0.8	依据 0.7	确保 0.6	支持 0.5	根本 0.3999999999999999	承保 0.29999999999999993	证 0.19999999999999996	可靠 0.09999999999999998
RESULT	保证.v 2105006020	保证 1.0	确保 0.9	保障 0.8	维持 0.7	保持 0.6	保护 0.5	维护 0.3999999999999999	保住 0.29999999999999993	担保 0.19999999999999996	维系 0.09999999999999998
RESULT	敬请.v 2101027023	请 1.0	敬请 0.9	可 0.8	您 0.7	请予 0.6	请客 0.5	请安 0.3999999999999999	可以 0.29999999999999993	求 0.19999999999999996	顾客 0.09999999999999998
RESULT	放心.v 2101027024	放心 1.0	信任 0.9	安心 0.8	信赖 0.7	相信 0.6	信服 0.5	谅解 0.3999999999999999	监督 0.29999999999999993	遵守 0.19999999999999996	满意 0.09999999999999998
RESULT	身.v 2101028000	身 1.0	作 0.9	做 0.8	自称 0.7	化作 0.6	出身 0.5	一身 0.3999999999999999	成 0.29999999999999993	行 0.19999999999999996	现 0.09999999999999998
RESULT	打.v 2101028007	打 1.0	击打 0.9	揍 0.8	敲打 0.7	殴打 0.6	鞭打 0.5	拍打 0.3999999999999999	拳打 0.29999999999999993	攻击 0.19999999999999996	踢 0.09999999999999998
RESULT	打.v 2105007015	打 1.0	开 0.9	签 0.8	写 0.7	还 0.6	索赔 0.5	发 0.3999999999999999	支付 0.29999999999999993	赔偿 0.19999999999999996	留 0.09999999999999998
RESULT	打.v 2107003005	打 1.0	主张 0.9	靠 0.8	借 0.7	瞄准 0.6	秉承 0.5	忙 0.3999999999999999	专注 0.29999999999999993	旗帜 0.19999999999999996	睁 0.09999999999999998
RESULT	打.v 2107004010	打 1.0	借 0.9	贩子 0.8	捏造 0.7	带 0.6	冒 0.5	靠 0.3999999999999999	拿 0.29999999999999993	用 0.19999999999999996	仗 0.09999999999999998
RESULT	耳刮子.v 2101028010	耳朵 1.0	耳刮子 0.9	耳光 0.8	耳洞 0.7	耳针 0.6	耳钉 0.5	耳孔 0.3999999999999999	耳环 0.29999999999999993	耳穴 0.19999999999999996	耳垂 0.09999999999999998
RESULT	难受.v 2101028012	难受 1.0	苦 0.9	痛苦 0.8	难堪 0.7	不好 0.6	可怕 0.5	惨 0.3999999999999999	疼 0.29999999999999993	痛 0.19999999999999996	难 0.09999999999999998
RESULT	一刻.v 2101029002	一刻 1.0	时 0.9	一天 0.8	刻 0.7	一时 0.6	时刻 0.5	一刹 0.3999999999999999	一瞬 0.29999999999999993	时候 0.19999999999999996	天 0.09999999999999998
RESULT	真正.v 2101029006	真正 1.0	彻底 0.9	完全 0.8	真真 0.7	真的 0.6	开始 0.5	深深 0.3999999999999999	正式 0.29999999999999993	深刻 0.19999999999999996	真实 0.09999999999999998
RESULT	真正.v 2103021003	真正 1.0	真的 0.9	切实 0.8	彻底 0.7	真真 0.6	确实 0.5	实现 0.3999999999999999	真实 0.29999999999999993	完全 0.19999999999999996	实际 0.09999999999999998
RESULT	明白.v 2101029007	明白 1.0	理解 0.9	懂得 0.8	领会 0.7	清楚 0.6	懂 0.5	领略 0.3999999999999999	知道 0.29999999999999993	领悟 0.19999999999999996	弄清 0.09999999999999998
RESULT	分量.v 2101029015	重要 1.0	分量 0.9	含义 0.8	重量 0.7	份量 0.6	意义 0.5	价值 0.3999999999999999	力量 0.29999999999999993	涵义 0.19999999999999996	含量 0.09999999999999998
RESULT	本.v 2101029020	本 1.0	基 0.9	根 0.8	道 0.7	源 0.6	路 0.5	要 0.3999999999999999	魂 0.29999999999999993	宝 0.19999999999999996	径 0.09999999999999998
RESULT	先是.v 2101031000	先是 1.0	首先 0.9	率先 0.8	先 0.7	先行 0.6	最先 0.5	第一 0.3999999999999999	先期 0.29999999999999993	先要 0.19999999999999996	抢先 0.09999999999999998
RESULT	打击.v 2101031001	打击 1.0	击中 0.9	击落 0.8	击退 0.7	击倒 0.6	攻击 0.5	击打 0.3999999999999999	攻克 0.29999999999999993	击溃 0.19999999999999996	击 0.09999999999999998
RESULT	枪.v 2101031003	枪 1.0	手枪 0.9	步枪 0.8	兵 0.7	子弹 0.6	机枪 0.5	武器 0.3999999999999999	射 0.29999999999999993	小枪 0.19999999999999996	炮 0.09999999999999998
RESULT	丑.v 2101031007	丑 1.0	小丑 0.9	皮 0.8	美 0.7	臭 0.6	假 0.5	恶 0.3999999999999999	油 0.29999999999999993	贼 0.19999999999999996	怪 0.09999999999999998
RESULT	抓.v 2101031010	抓 1.0	靠 0.9	追求 0.8	以 0.7	搞 0.6	用 0.5	讲 0.3999999999999999	力抓 0.29999999999999993	着力 0.19999999999999996	加上 0.09999999999999998
RESULT	抓.v 2102003008	抓 1.0	提高 0.9	追求 0.8	搞 0.7	管理 0.6	做好 0.5	质量 0.3999999999999999	控制 0.29999999999999993	生 0.19999999999999996	其 0.09999999999999998
RESULT	镇里.v 2101032000	镇里 1.0	乡里 0.9	村 0.8	村里 0.7	地里 0.6	河里 0.5	城里 0.3999999999999999	镇上 0.29999999999999993	乡镇 0.19999999999999996	市里 0.09999999999999998
RESULT	加入.v 2101032007	参加 1.0	参与 0.9	加入 0.8	进入 0.7	加盟 0.6	进去 0.5	入股 0.3999999999999999	进 0.29999999999999993	入伙 0.19999999999999996	来 0.09999999999999998
RESULT	制度.v 2101033007	制度 1.0	体系 0.9	体制 0.8	机制 0.7	系统 0.6	程序 0.5	规章 0.3999999999999999	标准 0.29999999999999993	模式 0.19999999999999996	措施 0.09999999999999998
RESULT	进.v 2101033011	进 1.0	采购 0.9	引进 0.8	入 0.7	加工 0.6	选料 0.5	生产 0.3999999999999999	供应 0.29999999999999993	购进 0.19999999999999996	投入 0.09999999999999998
RESULT	原料.v 2101033012	原料 1.0	料 0.9	原材 0.8	材料 0.7	入原 0.6	用料 0.5	产品 0.3999999999999999	材 0.29999999999999993	采料 0.19999999999999996	样品 0.09999999999999998
RESULT	生产.v 2101033014	生产 1.0	加 0.9	出产 0.8	作业 0.7	成型 0.6	成品 0.5	产 0.3999999999999999	做 0.29999999999999993	产生 0.19999999999999996	操作 0.09999999999999998
RESULT	生产.v 2102005065	生产 1.0	加工 0.9	产品 0.8	出产 0.7	产生 0.6	产业 0.5	施工 0.3999999999999999	产出 0.29999999999999993	开发 0.19999999999999996	设计 0.09999999999999998
RESULT	生产.v 2102008007	生产 1.0	制造 0.9	加工 0.8	制作 0.7	出产 0.6	产生 0.5	成品 0.3999999999999999	产品 0.29999999999999993	工艺 0.19999999999999996	成型 0.09999999999999998
RESULT	生产.v 2102008010	制造 1.0	加 0.9	制作 0.8	出产 0.7	成型 0.6	进行 0.5	操作 0.3999999999999999	设计 0.29999999999999993	成品 0.19999999999999996	作业 0.09999999999999998
RESULT	生产.v 2104001004	生产 1.0	出产 0.9	产量 0.8	种植 0.7	产 0.6	产业 0.5	制种 0.3999999999999999	产生 0.29999999999999993	产出 0.19999999999999996	制造 0.09999999999999998
RESULT	工艺.v 2101033015	工艺 1.0	流程 0.9	过程 0.8	工序 0.7	技术 0.6	程序 0.5	方法 0.3999999999999999	加工 0.29999999999999993	设备 0.19999999999999996	手艺 0.09999999999999998
RESULT	工艺.v 2102008011	工艺 1.0	工序 0.9	技术 0.8	设备 0.7	流程 0.6	加工 0.5	方法 0.3999999999999999	操作 0.29999999999999993	机械 0.19999999999999996	技艺 0.09999999999999998
RESULT	拉链缝.v 2101033021	拉链 1.0	链子 0.9
RESULT	多少.v 2101033022	多少 1.0	好多 0.9	几 0.8	过多 0.7	好几 0.6	十 0.5	起来 0.3999999999999999
RESULT	针.v 2101033023	针 1.0	孔 0.9	线 0.8	毫针 0.7	刺 0.6	洞 0.5	穴 0.3999999999999999	針 0.29999999999999993	扎针 0.19999999999999996	刀 0.09999999999999998
RESULT	龟.v 2101033028	龟 1.0	蛇 0.9	鱼 0.8	猫 0.7	鼠 0.6	虎 0.5	狗 0.3999999999999999	老虎 0.29999999999999993	猬 0.19999999999999996	鸡 0.09999999999999998
RESULT	爪儿.v 2101033029	爪儿 1.0	爪 0.9	爪子 0.8	脚 0.7	脚爪 0.6	爪牙 0.5	爪痕 0.3999999999999999	毛 0.29999999999999993	牙齿 0.19999999999999996	尾巴 0.09999999999999998
RESULT	方言.v 2101033032	方言 1.0	话 0.9	语言 0.8	口音 0.7	口语 0.6	语 0.5	官话 0.3999999999999999	地方 0.29999999999999993	普通 0.19999999999999996	土话 0.09999999999999998
RESULT	规定.v 2101033036	标准 1.0	规矩 0.9	咬定 0.8	指示 0.7	指南 0.6	咬合 0.5	指数 0.3999999999999999	对象 0.29999999999999993	命令 0.19999999999999996	定律 0.09999999999999998
RESULT	规定.v 2104008011	规定 1.0	制定 0.9	确定 0.8	明确 0.7	明令 0.6	定下 0.5	指定 0.3999999999999999	设定 0.29999999999999993	统一 0.19999999999999996	下达 0.09999999999999998
RESULT	编者注.v 2101033038	编者注 1.0	编者按 0.9	撰文 0.8	注 0.7	文 0.6	校对 0.5	引用 0.3999999999999999	参见 0.29999999999999993	书评 0.19999999999999996
RESULT	遵守.v 2101034002	守 1.0	遵守 0.9	守信 0.8	从 0.7	守时 0.6	执行 0.5	守法 0.3999999999999999	听 0.29999999999999993	严格 0.19999999999999996	守纪 0.09999999999999998
RESULT	成品.v 2101034004	成品 1.0	产品 0.9	样品 0.8	制品 0.7	货品 0.6	品质 0.5	原料 0.3999999999999999	商品 0.29999999999999993	作品 0.19999999999999996	质量 0.09999999999999998
RESULT	检验.v 2101034005	检验 1.0	验收 0.9	审核 0.8	测试 0.7	核对 0.6	检查 0.5	鉴定 0.3999999999999999	考核 0.29999999999999993	复核 0.19999999999999996	核验 0.09999999999999998
RESULT	检验.v 2102006034	检验 1.0	检测 0.9	鉴定 0.8	验收 0.7	检定 0.6	检查 0.5	测试 0.3999999999999999	试验 0.29999999999999993	认证 0.19999999999999996	研究 0.09999999999999998
RESULT	检验.v 2102010003	检验 1.0	检测 0.9	质检 0.8	验收 0.7	检查 0.6	实验 0.5	审核 0.3999999999999999	技术 0.29999999999999993	考核 0.19999999999999996	监理 0.09999999999999998
RESULT	检验.v 2102013022	验收 1.0	试验 0.9	质检 0.8	抽样 0.7	质量 0.6	抽检 0.5	实验 0.3999999999999999	校验 0.29999999999999993	鉴定 0.19999999999999996	核查 0.09999999999999998
RESULT	卡.v 2101034008	扣 1.0	打折 0.9	挂掉 0.8	卡住 0.7	关掉 0.6	拿 0.5	搁 0.3999999999999999	倒 0.29999999999999993	拖 0.19999999999999996	被扣 0.09999999999999998
RESULT	原来.v 2101035000	原来 1.0	原本 0.9	本来 0.8	原先 0.7	原是 0.6	原始 0.5	看来 0.3999999999999999	原因 0.29999999999999993	其实 0.19999999999999996	原以 0.09999999999999998
RESULT	净.v 2101035003	全 1.0	还 0.9	完全 0.8	净 0.7	干净 0.6	却 0.5	实在 0.3999999999999999	并不 0.29999999999999993	都 0.19999999999999996	只 0.09999999999999998
RESULT	名.v 2101035007	名分 1.0	姓名 0.9	味儿 0.8	大名 0.7	著名 0.6	性情 0.5	品位 0.3999999999999999	知名 0.29999999999999993	着名 0.19999999999999996	功名 0.09999999999999998
RESULT	儿.v 2101035009	字 1.0	儿 0.9	牌 0.8	利 0.7	色 0.6	姓 0.5	味 0.3999999999999999	子 0.29999999999999993	性 0.19999999999999996	脸 0.09999999999999998
RESULT	亏.v 2101035011	苦 1.0	亏 0.9	甜头 0.8	馋 0.7	大亏 0.6	糊涂 0.5	白饭 0.3999999999999999	饭 0.29999999999999993	小菜 0.19999999999999996	好处 0.09999999999999998
RESULT	白沟产.v 2101036000	白沟 1.0	白沟镇 0.9
RESULT	箱包.v 2101036002	皮包 1.0	箱包 0.9	包 0.8	皮带 0.7	布袋 0.6	包包 0.5	包裹 0.3999999999999999	鞋子 0.29999999999999993	皮具 0.19999999999999996	皮革 0.09999999999999998
RESULT	运.v 2101036004	运 1.0	搬 0.9	放 0.8	输 0.7	贩 0.6	送 0.5	卖 0.3999999999999999	寄 0.29999999999999993	转运 0.19999999999999996	直运 0.09999999999999998
RESULT	城市.v 2101036007	城市 1.0	都市 0.9	城镇 0.8	地方 0.7	地 0.6	市 0.5	小城 0.3999999999999999	城里 0.29999999999999993	城区 0.19999999999999996	都会 0.09999999999999998
RESULT	缝.v 2101036008	粘 1.0	贴 0.9	缝 0.8	擦 0.7	挂 0.6	拼 0.5	绑 0.3999999999999999	扯 0.29999999999999993	盖 0.19999999999999996	打 0.09999999999999998
RESULT	商标.v 2101036011	标牌 1.0	商标 0.9	标志 0.8	标识 0.7	标记 0.6	标签 0.5	名牌 0.3999999999999999	牌子 0.29999999999999993	品牌 0.19999999999999996	标 0.09999999999999998
RESULT	商标.v 2101037027	品牌 1.0	名牌 0.9	专用 0.8	名称 0.7	牌子 0.6	品名 0.5	牌号 0.3999999999999999	驰名 0.29999999999999993	号牌 0.19999999999999996	产品 0.09999999999999998
RESULT	价钱.v 2101036013	价钱 1.0	价格 0.9	钱 0.8	售价 0.7	价值 0.6	价位 0.5	价 0.3999999999999999	成本 0.29999999999999993	报价 0.19999999999999996	费用 0.09999999999999998
RESULT	翻.v 2101036015	翻 1.0	涨 0.9	增加 0.8	飞涨 0.7	下跌 0.6	跌落 0.5	飙升 0.3999999999999999	便宜 0.29999999999999993	暴涨 0.19999999999999996	滚翻 0.09999999999999998
RESULT	注册.v 2101037006	注册 1.0	申请 0.9	登记 0.8	认定 0.7	备案 0.6	认证 0.5	申报 0.3999999999999999	授权 0.29999999999999993	核准 0.19999999999999996	认可 0.09999999999999998
RESULT	供.v 2101037029	供 1.0	给 0.9	提供 0.8	让 0.7	献给 0.6	备 0.5	使 0.3999999999999999	由 0.29999999999999993	用 0.19999999999999996	可供 0.09999999999999998
RESULT	加工.v 2101037031	加工 1.0	生产 0.9	用 0.8	采购 0.7	制造 0.6	客 0.5	制作 0.3999999999999999	工人 0.29999999999999993	出口 0.19999999999999996	操作 0.09999999999999998
RESULT	加工.v 2101039004	加工 1.0	生产 0.9	采购 0.8	工人 0.7	制造 0.6	出产 0.5	出口 0.3999999999999999	工厂 0.29999999999999993	农 0.19999999999999996	劳动 0.09999999999999998
RESULT	加工.v 2104006016	加工 1.0	制作 0.9	生产 0.8	制造 0.7	切割 0.6	打磨 0.5	工艺 0.3999999999999999	工作 0.29999999999999993	打工 0.19999999999999996	操作 0.09999999999999998
RESULT	户.v 2101037032	户 1.0	厂 0.9	用户 0.8	者 0.7	企业 0.6	人员 0.5	农户 0.3999999999999999	业者 0.29999999999999993	队 0.19999999999999996	方 0.09999999999999998
RESULT	户.v 2101039005	户 1.0	企业 0.9	人员 0.8	商户 0.7	业户 0.6	者 0.5	农户 0.3999999999999999	厂 0.29999999999999993	区 0.19999999999999996	点 0.09999999999999998
RESULT	户.v 2106003006	窗户 1.0	门户 0.9	一家 0.8	小组 0.7	单位 0.6	大户 0.5	家园 0.3999999999999999	委员 0.29999999999999993	系统 0.19999999999999996	社会 0.09999999999999998
RESULT	使用.v 2101037033	使用 1.0	用 0.9	享用 0.8	利用 0.7	采用 0.6	选用 0.5	应用 0.3999999999999999	用到 0.29999999999999993	运用 0.19999999999999996	借用 0.09999999999999998
RESULT	牌子.v 2101038001	牌子 1.0	品牌 0.9	牌 0.8	商标 0.7	名牌 0.6	产品 0.5	商品 0.3999999999999999	牌号 0.29999999999999993	牌面 0.19999999999999996	标牌 0.09999999999999998
RESULT	牌子.v 2105002026	牌子 1.0	牌 0.9	奖牌 0.8	牌照 0.7	证书 0.6	金牌 0.5	银牌 0.3999999999999999	标牌 0.29999999999999993	奖状 0.19999999999999996	铜牌 0.09999999999999998
RESULT	牌子.v 2105008012	牌子 1.0	牌坊 0.9	牌位 0.8	名牌 0.7	牌 0.6	宝贝 0.5	牌匾 0.3999999999999999	牌照 0.29999999999999993	品牌 0.19999999999999996	奖牌 0.09999999999999998
RESULT	专用.v 2101038004	专用 1.0	专业 0.9	专属 0.8	专门 0.7	专有 0.6	特定 0.5	统一 0.3999999999999999	独特 0.29999999999999993	专利 0.19999999999999996	专项 0.09999999999999998
RESULT	不能.v 2101038009	不能 1.0	没有 0.9	不许 0.8	不会 0.7	不准 0.6	不可 0.5	决不 0.3999999999999999	不得 0.29999999999999993	不要 0.19999999999999996	不容 0.09999999999999998
RESULT	不能.v 2103024014	不能 1.0	不足 0.9	没 0.8	没有 0.7	不值 0.6	无法 0.5	没钱 0.3999999999999999	不会 0.29999999999999993	不够 0.19999999999999996	没法 0.09999999999999998
RESULT	讲.v 2101039006	上 1.0	讲 0.9	开 0.8	授 0.7	教 0.6	传授 0.5	听 0.3999999999999999	主讲 0.29999999999999993	说 0.19999999999999996	做 0.09999999999999998
RESULT	讲.v 2107004006	讲 1.0	守 0.9	懂 0.8	遵守 0.7	够 0.6	合 0.5	明 0.3999999999999999	知 0.29999999999999993	尊重 0.19999999999999996	负 0.09999999999999998
RESULT	课.v 2101039008	课 1.0	知识 0.9	培训 0.8	班 0.7	话 0.6	教课 0.5	问题 0.3999999999999999	大课 0.29999999999999993	故事 0.19999999999999996	观念 0.09999999999999998
RESULT	名牌.v 2101039019	名牌 1.0	品牌 0.9	著名 0.8	名品 0.7	特色 0.6	名优 0.5	精品 0.3999999999999999	驰名 0.29999999999999993	优质 0.19999999999999996	出名 0.09999999999999998
RESULT	战略.v 2101039020	战略 1.0	经营 0.9	振兴 0.8	战争 0.7	攻略 0.6	崛起 0.5	战术 0.3999999999999999	策略 0.29999999999999993	促销 0.19999999999999996	主导 0.09999999999999998
RESULT	硕士.v 2101040003	硕士 1.0	博士 0.9	专业 0.8	专家 0.7	士 0.6	专攻 0.5	研究 0.3999999999999999	院士 0.29999999999999993	大学 0.19999999999999996	本科 0.09999999999999998
RESULT	学问.v 2101040006	所学 1.0	研究 0.9	知识 0.8	大学 0.7	思想 0.6	文化 0.5	理论 0.3999999999999999	科学 0.29999999999999993	问题 0.19999999999999996	深造 0.09999999999999998
RESULT	又.v 2101040008	又 1.0	还 0.9	也 0.8	既 0.7	亦 0.6	更 0.5	再 0.3999999999999999	而且 0.29999999999999993	却 0.19999999999999996	同时 0.09999999999999998
RESULT	又.v 2101044002	又 1.0	再次 0.9	也 0.8	更 0.7	还 0.6	重新 0.5	继续 0.3999999999999999	一下 0.29999999999999993	开始 0.19999999999999996	却 0.09999999999999998
RESULT	又.v 2102014003	又 1.0	再次 0.9	还 0.8	继续 0.7	便 0.6	就 0.5	更 0.3999999999999999	即 0.29999999999999993	重新 0.19999999999999996	仍 0.09999999999999998
RESULT	又.v 2103024019	又 1.0	再次 0.9	还是 0.8	却 0.7	也 0.6	依然 0.5	反而 0.3999999999999999	便 0.29999999999999993	仍然 0.19999999999999996	则 0.09999999999999998
RESULT	了解.v 2101040009	了解 1.0	知道 0.9	懂 0.8	懂得 0.7	明 0.6	晓得 0.5	清楚 0.3999999999999999	深知 0.29999999999999993	理解 0.19999999999999996	熟悉 0.09999999999999998
RESULT	了解.v 2106003055	知晓 1.0	理解 0.9	知情 0.8	沟通 0.7	熟悉 0.6	认识 0.5	知道 0.3999999999999999	认知 0.29999999999999993	信任 0.19999999999999996	感知 0.09999999999999998
RESULT	实情.v 2101040012	实情 1.0	实况 0.9	实际 0.8	事实 0.7	情况 0.6	真情 0.5	现状 0.3999999999999999	现实 0.29999999999999993	真相 0.19999999999999996	事情 0.09999999999999998
RESULT	讲课.v 2101040014	讲课 1.0	教课 0.9	授课 0.8	演讲 0.7	教学 0.6	课堂 0.5	教育 0.3999999999999999	课程 0.29999999999999993	上课 0.19999999999999996	教 0.09999999999999998
RESULT	懂.v 2101040019	懂 1.0	得懂 0.9	到 0.8	见 0.7	清楚 0.6	说 0.5	出来 0.3999999999999999	晓 0.29999999999999993	过 0.19999999999999996	透 0.09999999999999998
RESULT	爱.v 2101040022	爱 1.0	喜欢 0.9	愿意 0.8	乐于 0.7	会 0.6	热爱 0.5	欢迎 0.3999999999999999	想 0.29999999999999993	在 0.19999999999999996	要 0.09999999999999998
RESULT	办.v 2101041003	养 1.0	雇 0.9	现有 0.8	带 0.7	办 0.6	附近 0.5	负责 0.3999999999999999	有 0.29999999999999993	承包 0.19999999999999996	做 0.09999999999999998
RESULT	办.v 2107001019	办理 1.0	履行 0.9	做 0.8	进行 0.7	备办 0.6	具备 0.5	处理 0.3999999999999999	提供 0.29999999999999993	补办 0.19999999999999996	行 0.09999999999999998
RESULT	成立.v 2101041011	成立 1.0	建立 0.9	组建 0.8	设立 0.7	创建 0.6	创办 0.5	确立 0.3999999999999999	创立 0.29999999999999993	树立 0.19999999999999996	设置 0.09999999999999998
RESULT	成立.v 2102004003	成立 1.0	创建 0.9	建 0.8	创立 0.7	组建 0.6	创办 0.5	诞生 0.3999999999999999	建立 0.29999999999999993	始建 0.19999999999999996	设立 0.09999999999999998
RESULT	小组.v 2101041014	组 1.0	组织 0.9	班子 0.8	队伍 0.7	管理 0.6	部门 0.5	队 0.3999999999999999	中心 0.29999999999999993	团队 0.19999999999999996	委员 0.09999999999999998
RESULT	实行.v 2101041016	实行 1.0	开始 0.9	建立 0.8	进行 0.7	实现 0.6	实施 0.5	推行 0.3999999999999999	施行 0.29999999999999993	开展 0.19999999999999996	采取 0.09999999999999998
RESULT	全面.v 2101041018	全面 1.0	整体 0.9	全部 0.8	完全 0.7	全体 0.6	综合 0.5	全盘 0.3999999999999999	完整 0.29999999999999993	总体 0.19999999999999996	统一 0.09999999999999998
RESULT	做.v 2101042003	做 1.0	打 0.9	制作 0.8	承 0.7	生产 0.6	搞 0.5	负责 0.3999999999999999	作 0.29999999999999993	造 0.19999999999999996	所 0.09999999999999998
RESULT	做.v 2101044011	做 1.0	来 0.9	办 0.8	加大 0.7	作 0.6	赚 0.5	开 0.3999999999999999	干 0.29999999999999993	行 0.19999999999999996	扩 0.09999999999999998
RESULT	做.v 2102009016	做 1.0	抓 0.9	搞 0.8	开始 0.7	干 0.6	办 0.5	讲 0.3999999999999999	进行 0.29999999999999993	谈 0.19999999999999996	入手 0.09999999999999998
RESULT	做.v 2103001013	进行 1.0	做 0.9	举行 0.8	执行 0.7	实施 0.6	作 0.5	召开 0.3999999999999999	开展 0.29999999999999993	完成 0.19999999999999996	展开 0.09999999999999998
RESULT	包.v 2101042004	包 1.0	面包 0.9	皮包 0.8	工包 0.7	产品 0.6	承包 0.5	粽子 0.3999999999999999	出来 0.29999999999999993	外包 0.19999999999999996	模板 0.09999999999999998
RESULT	包.v 2101043000	做 1.0	包 0.9	服务 0.8	质量 0.7	装 0.6	管 0.5	挺 0.3999999999999999	面 0.29999999999999993	打 0.19999999999999996	办 0.09999999999999998
RESULT	包.v 2101044023	子 1.0	装 0.9	体 0.8	柜 0.7	皮 0.6	类 0.5	盒 0.3999999999999999	品 0.29999999999999993	香 0.19999999999999996	衣 0.09999999999999998
RESULT	没得.v 2101042007	没得 1.0	可以 0.9	不得 0.8	不错 0.7	可靠 0.6	不 0.5	不可 0.3999999999999999	无可 0.29999999999999993	不言 0.19999999999999996	可不 0.09999999999999998
RESULT	产品.v 2101042014	产品 1.0	货 0.9	品牌 0.8	商品 0.7	企业 0.6	同类 0.5	生产 0.3999999999999999	东西 0.29999999999999993	产物 0.19999999999999996	牌子 0.09999999999999998
RESULT	产品.v 2102001006	产品 1.0	品 0.9	成品 0.8	物品 0.7	制品 0.6	品牌 0.5	工艺 0.3999999999999999	货品 0.29999999999999993	物 0.19999999999999996	精品 0.09999999999999998
RESULT	产品.v 2102003009	产品 1.0	生产 0.9	作品 0.8	品 0.7	管理 0.6	成品 0.5	工艺 0.3999999999999999	机械 0.29999999999999993	出品 0.19999999999999996	出产 0.09999999999999998
RESULT	产品.v 2102003016	成品 1.0	作品 0.9	生产 0.8	商品 0.7	出品 0.6	货品 0.5	制品 0.3999999999999999	东西 0.29999999999999993	设备 0.19999999999999996	货物 0.09999999999999998
RESULT	产品.v 2102006005	产品 1.0	生产 0.9	品 0.8	制品 0.7	物品 0.6	材料 0.5	食品 0.3999999999999999	原料 0.29999999999999993	商品 0.19999999999999996	出产 0.09999999999999998
